"sample_name","group","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40"
"KT-539_D0_D60","ctrl","-0.56609","-0.68687","3.75475","-0.83651","2.21254","-0.78665","0.56795","-0.28962","0.68512","-0.38937","0.64424","-1.67967","0.41421","-0.62296","-1.20116","1.41146","-1.74525","-0.44207","0.39069","0.33847","-0.17785","-0.08837","-0.22216","-0.01567","0.33544","0.02317","0.24737","0.10318","-0.01053","-0.01427","-0.05255","-0.15769","-0.05484","0.14151","0.06063","0.03584","0.0126","0.06321","0.02936","0"
"BS-671_D0_D60","ctrl","3.4627","-0.44683","-1.45551","1.28476","-2.22162","1.59179","0.25308","-0.58703","1.24011","0.39392","-0.26525","-0.32718","-0.03631","0.16531","0.64099","-1.13596","0.18768","0.21818","0.24293","0.09482","-0.0766","-0.17111","-0.01845","-0.08807","0.18704","0.28902","0.332","-0.24903","0.11084","0.10722","0.21217","-0.17846","-0.22622","0.34083","-0.08268","-0.09064","-0.02072","0.14275","0.0564","0"
"BS-064_D0_D60","exp","-2.43237","-5.00982","3.21441","1.43179","-0.09364","0.19245","0.29859","1.1969","-0.2983","-0.63916","-0.05278","-0.34077","-0.43358","-1.66592","-0.68522","-1.14347","0.71555","-0.58566","-0.54869","-0.54878","0.58349","0.13625","0.47624","0.52668","0.23555","-0.0966","-0.28702","0.51956","-0.01306","0.00594","0.10213","-0.18083","-0.00134","-0.01273","-0.10424","0.01145","-0.02287","0.03192","-0.01727","0"
"KT-805_D0_D60","ctrl","-3.26172","-0.31437","2.06817","-2.82079","0.36748","0.20766","-0.11333","1.41871","0.75391","1.59356","-1.1073","0.38137","-0.50366","0.1814","0.78112","0.10386","0.04237","-0.08143","-0.64833","-0.63267","-0.59369","-0.45144","-0.42706","0.12288","-0.28947","0.3429","-0.28914","0.08807","-0.11","0.05712","-0.24453","0.02418","0.24468","0.17241","-0.03072","0.09939","-0.09325","-0.01098","0.09637","0"
"KT-926_D0_D60","exp","-5.63946","2.74818","-3.19411","1.59154","1.62001","0.56724","-0.76782","1.05089","0.49071","2.07796","-0.30032","-1.12293","-1.12718","0.40135","-0.26058","-0.24791","-0.75058","0.49705","0.28676","-0.07827","0.9204","0.01055","-0.29411","0.44817","-0.02953","-0.42411","-0.39332","-0.03693","-0.13403","0.0093","0.12445","-0.00026","0.07951","0.14257","0.11145","-0.03997","-0.02448","0.00397","-0.07143","0"
"KT-705_D0_D60","exp","0.02095","0.0654","-2.12048","-1.02416","-1.62225","-0.92675","0.28512","0.34808","-0.54729","-1.20446","1.64665","-1.05135","-0.17439","-0.7126","-0.53413","0.88557","0.99801","-0.00462","0.55546","-0.25271","-0.1638","-0.50778","0.05134","-0.12318","-0.09272","-0.24394","-0.10053","-0.14521","0.28797","0.41823","0.42349","0.17824","0.18616","0.1237","0.03395","0.03614","-0.10165","-0.05396","0.02977","0"
"BS-336_D0_D60","ctrl","2.45354","0.00078","-0.10222","2.89875","-1.68053","1.23579","-0.23926","-0.37718","0.62883","0.75128","0.86669","0.05732","-0.54407","-0.51756","0.69909","1.38614","0.61844","-0.30818","-0.31718","0.55493","-0.03649","-0.3542","-0.3775","-0.03062","0.02382","0.15379","-0.06977","0.11404","0.01077","-0.1005","-0.21156","-0.00843","-0.30855","-0.00798","-0.01933","0.247","-0.07705","-0.01309","-0.09646","0"
"BS-082_D0_D60","ctrl","0.81129","2.43902","-3.25686","-1.05685","0.67307","-2.11729","0.51473","1.39896","-0.9434","0.10236","0.49714","-1.09019","-0.03449","-0.9745","0.44204","-1.00983","0.11715","-0.60286","0.77776","0.31445","-0.1999","0.09027","0.10558","0.35801","-0.38273","0.1306","-0.05369","-0.01977","-0.29622","-0.10134","-0.17164","0.09634","-0.27124","-0.21541","0.07925","0.09433","0.00633","0.06042","0.08221","0"
"BS-351_D0_D60","ctrl","-2.54849","-2.31183","2.41207","-0.60596","1.72772","0.95092","0.70223","-0.0073","-1.03586","0.14929","-1.02753","0.76169","-0.13072","-0.55559","0.66377","-0.4255","0.4336","1.15644","0.40781","0.18673","0.04854","0.44703","-0.26014","-0.41422","-0.08217","-0.61771","0.20345","-0.156","0.18703","0.04924","0.15102","-0.24972","-0.1665","0.04394","0.19361","0.17472","0.05059","-0.05969","0.03927","0"
"KT-347_D0_D60","exp","-1.15801","1.46979","-0.14161","-0.52145","0.10158","1.05679","-0.00453","-3.13614","0.69015","0.10431","-1.55362","0.40343","-0.09059","-1.83405","-0.61448","0.22562","0.25614","0.67261","-0.46792","0.82248","0.24735","-0.51944","-0.33327","0.57833","-0.0641","-0.09892","0.16131","-0.0005","-0.19146","0.11418","0.04122","0.35057","0.03945","-0.11846","-0.05158","-0.06543","0.04444","0.00121","0.04561","0"
"BS-377_D0_D60","ctrl","3.78936","-2.86078","0.29187","-2.2365","-2.83246","-1.69","-1.1332","0.63892","0.82707","-0.80073","-1.32307","-1.1497","0.42039","0.14165","1.11152","0.28956","-0.45996","0.70558","0.27771","-0.51526","0.63725","0.15565","-0.4957","0.05985","-0.03628","0.41412","-0.06425","0.38923","0.37459","0.07032","0.06737","0.20211","-0.03298","-0.11278","0.05662","0.00232","0.09664","0.01668","-0.04634","0"
"KT-313_D0_D60","ctrl","3.65967","-2.77053","-0.19778","-0.09956","0.17286","0.14051","-1.45547","0.56853","0.19355","1.20981","1.20475","-0.54899","-0.87149","-0.54149","0.60531","0.38395","0.10001","0.1124","-0.00448","0.54576","-0.76316","0.79464","0.19258","0.1794","-0.01383","-0.01934","-0.02709","-0.27013","-0.20025","0.50284","-0.10406","-0.13996","0.16093","-0.01139","-0.14086","-0.05587","0.18004","-0.0292","-0.02417","0"
"BS-364_D0_D60","ctrl","1.03204","-3.04172","-0.24795","0.38899","1.0264","1.82074","-0.61719","0.92465","-0.16914","-0.16205","-0.84883","0.68171","-0.61856","0.31477","-0.17639","0.02726","-0.97445","-1.15053","-0.18108","-0.12076","-0.13524","0.32051","0.34422","-0.53526","-0.18957","-0.35162","-0.07519","-0.08506","0.09511","0.04375","0.14314","0.67246","-0.22978","0.0654","-0.08091","0.01293","0.01418","-0.00759","0.01418","0"
