"feature","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40"
"DG 32:0","2.78389","1.26659","2.23284","0.08237","3.17828","0.61673","2.93653","9.19721","0.03665","0.24222","0.50335","0.01971","0.06163","2.72304","0.24559","0.63958","1.04373","0.8174","0.26451","4.50818","1.25693","2.17426","0.34292","0.21101","14.22153","0.30681","0.90767","8.3291","0.27768","8.93263","0.66051","0.52443","3.10764","0.81548","0.00088","0.09404","1.36254","0.00354","3.53966","6.73243"
"DG 34:1","3.19733","0.51921","7.19252","0.49288","1.60261","0.00579","0.26307","0.25591","0.05325","0.11948","1.05062","0.06744","1.40266","0.37673","0.08895","0.26224","0.14679","1.28984","0.75845","0.48313","0.4558","0.8136","9.28295","3.19801","0.02396","4.98488","3.52033","1.2105","0.59106","0.97914","0.08631","0.04961","0.00021","0.36424","7.67622","0.14994","5.88534","3.1132","0.5191","13.52897"
"DG 36:3","2.48517","0.57259","9.4273","0.90779","1.83438","0.08981","0.07506","0.01435","1.62076","0.02683","0.03336","0.25776","5.48055","1.17758","0.07934","0.00381","0.69954","0.00124","0.0659","4.7392","0.44973","0.00545","0.71657","2.35708","1.41971","3.06922","8.23301","0.05644","0.69783","6.48665","0.29041","7.22688","0.93331","1.46867","0.00038","2.99283","0.14498","0.63008","0.00925","12.84353"
"DG 34:2","2.62771","0.78611","1.96775","2.80075","5.7802","0.82609","0.20723","2.7529","0.07542","0.0578","0.42573","0.16641","0.01504","3.06863","4.06524","0.04163","10.97854","3.51041","1.21732","0.02668","4.05691","0.02965","0.13351","0.19917","1.88275","8.31806","1.17925","5.69655","0.10205","2.84414","0.13293","1.36167","14.48601","1.456","0.0434","1.48397","4.33926","0.59077","0.80989","1.68632"
"DG 36:2","3.93903","0.00631","2.65071","1.46488","0.33162","0.09314","0.16894","0.25132","0.56342","1.48295","0.01292","0.12636","0.59277","4.94687","0.65092","0.58653","0.00083","0.49248","2.91672","5.48764","2.48059","4.14928","0.13473","2.82404","7.30349","10.23265","4.91842","1.21002","0.01426","0.00019","0.34023","3.16855","18.21668","0.03834","6.27967","2.05567","0.23495","2.7216","1.41561","0.01417"
"CAR 16:0","2.14699","5.09502","0.60786","2.77243","1.26949","0.01193","4.48548","0.90942","1.18838","0.8791","0.36478","0.14025","0.57969","3.58512","0.52845","0.36609","1.32647","0.42112","1.75404","0.3273","3.59883","0.07593","0.89243","5.73935","0.50438","2.95487","0.73686","0.02974","0.04835","1.73126","5.35149","3.84523","0.58065","4.87112","7.83944","0.08592","5.04547","8.60822","4.57083","0.99952"
"CAR 18:1","1.90923","3.72519","0.11104","5.644","1.76217","1.68105","1.59283","0.00316","8.51704","0.00505","0.53053","0.00622","1.04114","2.79764","0.41047","0.01981","1.46387","0.00255","5.67862","0.62618","1.36709","2.95106","0.69831","5.02029","0.13401","0.57049","3.17667","0.13807","0.37314","5.56267","0.0016","0.0572","0.27254","4.4888","3.52823","2.4535","3.35936","0.23531","2.24159","10.84633"
"CAR 18:2","2.52931","4.45599","0.65467","1.69042","0.72377","0.47663","2.47863","2.29871","1.35242","0.30481","0.84928","0.03694","0.87232","1.19325","8.98632","0.77145","0.05475","0.22693","1.79181","0.44817","0.26603","0.60745","1.07972","0.00069","0.93973","0.03362","2.51449","3.03423","5.03213","2.16065","0.26533","1.33724","1.13482","0.24519","0.04906","0.27309","5.851","6.43014","0.4375","10.51466"
"LPC O-16:0","1.37396","0.00617","0.74192","0.24579","5.80458","1.33209","2.812","19.9837","1.94328","3.76097","5.31264","6.05896","0.05733","0.08722","7.32924","0.05876","11.47522","0.3963","3.30096","0.37947","0.00344","1.91396","2.34489","4.21622","0.23575","0.76227","1.50902","4.35354","0.31746","0.02709","0.02535","0.93438","0.00316","0.09282","0.03087","0.26902","1.60319","0.12179","0.99249","1.39406"
"PC 32:0","0.50766","8.89494","0.42772","0.73005","1.08429","2.7128","0.57131","5.27023","2.67067","0.05707","0.01893","0.6984","1.34519","0.04729","5.25876","11.59179","1.13211","1.19763","2.57242","4.41771","0.26299","0.48363","2.93985","0.05377","14.14353","0.51492","2.51129","0.69101","3.34147","0.07127","4.3514","2.01445","0.00586","0.25979","0.03216","2.14663","2.16653","2.1519","1.83654","0.17508"
"PC 32:1","1.76945","4.39454","0.00133","6.717","0.24635","1.57572","2.90998","0.00383","4.01976","0.17933","0.1784","5.70635","0.14665","0.47929","0.63764","1.97887","0.04111","1.02469","0.49135","3.09892","1.28257","4.6632","0.72071","1.73673","0.22181","0.01932","0.17545","3.11731","4.87296","2.43265","0.02935","16.83358","1.00593","0.5506","0.78993","8.6553","1.04521","0.04035","4.09212","0.29318"
"PC 34:1","2.11775","5.22672","1.68431","0.86057","1.10646","2.02246","0.60144","1.16202","4.18429","0.01325","1.15844","1.54188","0.11612","0.65571","1.52823","0.0348","0.004","0.50083","0.03139","6.26741","0.00303","0.22839","2.78791","0.04927","1.92942","0.7756","1.67284","0.30099","2.43264","0.63887","10.62994","10.4738","4.38599","10.87668","1.05933","1.57328","0.00931","0.76729","4.21202","3.24271"
"PC 34:2","1.73482","3.20252","3.34651","0.03546","2.57843","3.03335","3.08328","0.01463","3.21728","1.24607","0.02573","5.57966","1.61525","2.04755","0.53589","0.56701","2.34421","1.445","10.09814","0.02765","11.57349","2.08511","5.49179","4.05481","0.00638","0.72489","0.04357","0.08554","0.23383","5.77694","0.48246","0.79886","0.01039","1.62048","5.37868","3.69206","2.78469","0.01122","2.60347","0.12252"
"PC 36:0","0.29826","0.49268","0.10664","16.46749","2.27841","1.08511","0.50981","0.80133","0.34037","1.68669","10.71218","14.29344","7.202","0.00372","1.34666","6.62653","14.44431","1.06093","0.94242","0","0.6934","1.43705","0.01031","0.0197","1.77016","3.81479","0.42786","1.52761","0.05178","0.30912","2.08401","0.30428","0.5535","2.16734","0.06205","0.0775","0.08519","0.05474","0.04248","1.38353"
"PC 36:1","0.78539","3.87345","3.74418","9.43146","0.00208","0.32237","0.16678","0.07282","1.03432","8.87404","0.90511","0.39644","0.14664","0.00065","4.04386","1.32576","8.26206","0.09545","0.64795","0.99805","13.07886","0.19929","2.68918","4.53983","0.00072","1.24908","0.3259","12.99192","0.05196","9.75291","0.04709","0.82078","0.10345","0.01898","0.16968","0.44496","0.92875","0.52161","0.00086","2.53119"
"PC 36:2","1.30127","4.9648","7.66982","0.36986","2.83281","0.00118","0.79937","0.85417","0.0313","0.05198","0.01723","0.04115","0.78653","1.82877","1.67097","2.69971","0.33013","0.02154","0.2211","6.29429","1.10307","0.07369","7.2201","0.92633","0.23434","0.73838","0.79775","1.60181","3.39546","5.71848","1.68724","0.06396","6.69932","2.72092","0.02833","3.30005","3.18778","8.65417","0.35036","1.4978"
"PC 34:1;P/34:2;O","0.88669","1.94392","9.26574","1.46023","0.44059","1.2924","1.94758","2.26152","10.77049","1.24031","0.00908","0.29892","4.87286","0.18526","8.97733","1.22415","0.56351","0.68842","0.0876","5.02846","12.60587","1.54323","0.95999","0.38861","0.00307","0.48305","0.00177","0.1544","0.32598","1.18423","5.01706","0.12332","1.09961","0.26597","0.08769","0.01247","0.72489","1.80841","6.33382","2.45658"
"PC 36:2;P/36:3;O","1.61855","6.49777","2.75128","1.37225","0.82125","2.01304","2.20713","1.84548","0.06237","0.231","0.12858","0.03812","0.85786","0.00269","1.40582","0.01779","0.61459","3.17715","2.4823","0.72087","1.31426","0.20321","0.65776","0.00729","2.60508","0.04048","0.27125","0.05932","13.63111","1.87178","0.36841","0.09888","3.55729","1.52905","2.03258","1.50159","6.15948","9.84043","3.15709","0.01797"
"PC 36:3;P/36:3;O","1.55577","6.99472","0.7252","3.89266","0.10687","3.91502","0.58807","0.01537","0.62493","0.00438","0.07299","0.25936","0.26342","0.72372","0.68601","4.15737","0.17466","0.03063","3.79442","0.05842","1.78263","0.18421","0.06023","0.25355","0.56484","3.65751","2.16256","2.5126","2.12846","4.27576","1.2856","2.54243","1.19143","1.78945","1.31021","1.24937","13.17176","7.73975","0.01656","1.75163"
