"Aspect","Characteristic","Feature","Condition","Significance","p","-log10(p)","padj","-log10(padj)","InCharDeLipid","notInCharDeLipid","InCharLipid","notInCharLipid","Lipids"
"Fatty acid properties","FA.Chain.Length.Category3","Very long-chain FA","Down","Yes","8.17e-05","4.09e+00","4.09e-04","3.39e+00","16","38","6","98","PC 38:4;P/38:5;O,PC 38:4;P/38:5;O,PC 38:2;P/38:3;O,PC 38:2;P/38:3;O,PC 36:2;P/36:3;O,PC 36:2;P/36:3;O,PC 34:1;P/34:2;O,PC 34:1;P/34:2;O,PC 36:3;P/36:3;O,PC 36:3;P/36:3;O,PC 40:3;P/40:4;O,PC 40:3;P/40:4;O,PC 38:3;P/38:4;O,PC 38:3;P/38:4;O,PE 38:4;P/38:5;O,PE 38:4;P/38:5;O"
"Fatty acid properties","FA.Chain.Length.Category2","FA with more than 24 carbons","Down","Yes","3.10e-04","3.51e+00","1.55e-03","2.81e+00","16","38","6","84","PC 38:4;P/38:5;O,PC 38:4;P/38:5;O,PC 38:2;P/38:3;O,PC 38:2;P/38:3;O,PC 36:2;P/36:3;O,PC 36:2;P/36:3;O,PC 34:1;P/34:2;O,PC 34:1;P/34:2;O,PC 36:3;P/36:3;O,PC 36:3;P/36:3;O,PC 40:3;P/40:4;O,PC 40:3;P/40:4;O,PC 38:3;P/38:4;O,PC 38:3;P/38:4;O,PE 38:4;P/38:5;O,PE 38:4;P/38:5;O"
"Fatty acid properties","FA.C","38","Down","Yes","3.29e-04","3.48e+00","2.96e-03","2.53e+00","8","46","0","87","PC 38:4;P/38:5;O,PC 38:4;P/38:5;O,PC 38:2;P/38:3;O,PC 38:2;P/38:3;O,PC 38:3;P/38:4;O,PC 38:3;P/38:4;O,PE 38:4;P/38:5;O,PE 38:4;P/38:5;O"
"Fatty acid properties","FA.Chain.Length.Category1","FA with more than 18 carbons","Down","Yes","3.71e-04","3.43e+00","1.85e-03","2.73e+00","16","38","8","98","PC 38:4;P/38:5;O,PC 38:4;P/38:5;O,PC 38:2;P/38:3;O,PC 38:2;P/38:3;O,PC 36:2;P/36:3;O,PC 36:2;P/36:3;O,PC 34:1;P/34:2;O,PC 34:1;P/34:2;O,PC 36:3;P/36:3;O,PC 36:3;P/36:3;O,PC 40:3;P/40:4;O,PC 40:3;P/40:4;O,PC 38:3;P/38:4;O,PC 38:3;P/38:4;O,PE 38:4;P/38:5;O,PE 38:4;P/38:5;O"
"Fatty acid properties","FA.Unsaturation.Category1","Polyunsaturated fatty acid","Down","Yes","8.30e-04","3.08e+00","4.15e-03","2.38e+00","16","38","9","96","PC 38:4;P/38:5;O,PC 38:4;P/38:5;O,PC 38:2;P/38:3;O,PC 38:2;P/38:3;O,PC 36:2;P/36:3;O,PC 36:2;P/36:3;O,PC 34:1;P/34:2;O,PC 36:3;P/36:3;O,PC 36:3;P/36:3;O,CAR 18:2,PC 40:3;P/40:4;O,PC 40:3;P/40:4;O,PC 38:3;P/38:4;O,PC 38:3;P/38:4;O,PE 38:4;P/38:5;O,PE 38:4;P/38:5;O"
"Cellular component","Cellular.Component","NA","Down","Yes","1.12e-03","2.95e+00","8.95e-03","2.05e+00","16","32","16","121","PC 38:4;P/38:5;O,PC 38:2;P/38:3;O,PC 36:2;P/36:3;O,CAR 16:0,SM 39:1;O2,SM 41:2;O2,PC 34:1;P/34:2;O,PC 36:3;P/36:3;O,SM 37:1;O2,LPC O-16:0,CAR 18:2,PC 40:3;P/40:4;O,PC 38:3;P/38:4;O,SM 41:1;O2,CAR 18:1,PE 38:4;P/38:5;O"
"Fatty acid properties","Total.OH","1","Down","Yes","3.14e-03","2.50e+00","9.41e-03","2.03e+00","8","38","3","104","PC 38:4;P/38:5;O,PC 38:2;P/38:3;O,PC 36:2;P/36:3;O,PC 34:1;P/34:2;O,PC 36:3;P/36:3;O,PC 40:3;P/40:4;O,PC 38:3;P/38:4;O,PE 38:4;P/38:5;O"
"Lipid classification","Main.Class","NA","Down","Yes","4.70e-03","2.33e+00","4.23e-02","1.37e+00","16","30","13","81","PC 38:4;P/38:5;O,PC 38:2;P/38:3;O,PC 36:2;P/36:3;O,CAR 16:0,SM 39:1;O2,SM 41:2;O2,PC 34:1;P/34:2;O,PC 36:3;P/36:3;O,SM 37:1;O2,LPC O-16:0,CAR 18:2,PC 40:3;P/40:4;O,PC 38:3;P/38:4;O,SM 41:1;O2,CAR 18:1,PE 38:4;P/38:5;O"
"Fatty acid properties","FA.OH","1","Down","Yes","5.80e-03","2.24e+00","2.90e-02","1.54e+00","8","46","3","109","PC 38:4;P/38:5;O,PC 38:2;P/38:3;O,PC 36:2;P/36:3;O,PC 34:1;P/34:2;O,PC 36:3;P/36:3;O,PC 40:3;P/40:4;O,PC 38:3;P/38:4;O,PE 38:4;P/38:5;O"
"Lipid classification","Category","Glycerolipids [GL]","Up","Yes","6.91e-03","2.16e+00","4.15e-02","1.38e+00","19","27","20","80","TG 51:1,DG 36:2,TG 51:2,DG 32:0,TG 54:2,DG 34:2,TG 52:1,TG 58:7,DG 34:1,TG 58:5,TG 56:6,TG 58:8,TG 49:2,TG 52:4,TG 54:3,TG 50:0,TG 58:9,DG 36:3,TG 56:8"
