"","feature","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24"
"9-HODE","9-HODE","8.26203","1.62544","0.61384","1.96133","1.03977","0.05575","0.70866","1.80838","6.78818","3.74793","4.63977","3.08763","3.01848","0.50461","0.01918","3.66111","14.82588","1.58366","0.63699","10.3378","0.39752","1.10046","2.47789","27.09771"
"13-HODE","13-HODE","7.34481","1.38094","0.47505","7.35398","0.23187","1.5345","0.10816","5.58887","2.96951","5.29364","1.02748","5.04593","0.44233","0.03266","1.01961","0.38805","1.51605","0.02248","16.21687","2.0063","13.51245","2.13137","3.04158","21.3155"
"9,10-DiHOME","9,10-DiHOME","1.97407","4.75137","1.21113","13.51205","5.2624","11.37761","5.18686","0.36505","4.74456","0.03655","0.74763","1.18867","1.27873","1.35837","13.72565","4.71354","4.60414","7.73095","4.62812","0.60704","5.30604","0.09512","0.00066","5.59366"
"12,13-DiHOME","12,13-DiHOME","1.98734","6.00279","0.3517","14.3033","0.62208","14.4463","2.70819","0.14269","2.7571","1.98238","0.98998","8.63828","0.16171","1.09131","2.97542","5.53131","3.53223","15.93321","3.19009","1.45584","6.48863","0.86105","2.42386","1.42322"
"9-OxoODE","9-OxoODE","2.03904","10.05434","0.33487","0.66095","0.15709","20.96608","0.69283","0.06622","2.92983","0.09951","10.04107","0.2764","10.76405","3.17009","1.28087","0.54199","1.54232","1.21231","1.76391","15.42547","6.66359","4.20178","4.70303","0.41239"
"13-OxoODE","13-OxoODE","5.13711","2.96074","0.4368","0.77865","0.2189","3.94079","24.14638","7.03304","0.03849","1.1911","3.58805","23.34825","4.25898","0.03843","0.49648","0.73342","1.16159","4.31474","0.14459","12.98077","0.73687","0.73426","0.22301","1.35858"
"9,10,13-trihydroxy-11-octadecenoic acid","9,10,13-trihydroxy-11-octadecenoic acid","0.0707","14.07924","3.37461","2.17979","6.31143","3.45667","7.85683","2.08812","0.07439","0.3582","1.79804","0.84568","2.86294","7.75385","0.04817","1.57231","0.5242","1.3589","0.0494","0.1598","2.64178","16.63507","23.63706","0.26281"
"9S,12S,13S-trihydroxy-10E-octadecenoic acid","9S,12S,13S-trihydroxy-10E-octadecenoic acid","0.00195","9.70879","3.67654","9.56297","13.5114","0.31936","2.86146","1.39956","0.57901","5.44541","1.64327","1.99311","12.01599","0.06755","1.61134","0.23824","4.06998","0.47998","0.53819","7.60673","0.25695","8.04938","13.30138","1.06146"
"8,9-EET","8,9-EET","0.77946","4.25202","9.01328","2.57045","12.67191","2.54404","1.10557","7.42907","41.02856","0.45488","4.17445","6.27707","1.27358","0.03857","3.60161","0.05648","0","0.56705","0.0164","0.90925","0.29147","0.01345","0.86898","0.06239"
"5-HETE","5-HETE","5.61086","0.93207","1.18287","2.79945","2.18007","12.88691","2.84329","13.92941","0.12726","1.44688","0.90145","0.00696","7.48658","9.33417","11.21007","8.71886","0.83946","0.27969","12.12799","0.44036","0.8939","0.7974","2.98827","0.03576"
"8-HETE","8-HETE","6.42748","2.56832","2.32381","0.61183","6.18884","4.85029","2.07155","0.39261","1.71059","2.20442","0.00306","4.40534","3.65239","1.04748","0.43609","9.31783","0.21008","0.09185","0.55997","0.0229","26.06613","20.35384","0.55895","3.92436"
"12-HETE","12-HETE","2.99594","0.15754","20.74923","0.29764","6.96085","0.29626","1.02715","1.71426","8.76111","6.74577","0.38752","0.57111","0.01907","17.96417","0.67087","7.79025","0.00496","0.45902","1.12046","0.21137","12.18656","5.69087","0.7063","2.51174"
"15-HETE","15-HETE","6.45209","1.4135","5.3079","0.38375","3.67975","1.5612","6.88228","4.63391","0.99179","1.17103","0.22628","5.32518","4.24458","0.0146","3.80044","2.67862","17.91838","0.06699","0.17201","0.59594","0.62839","16.06814","15.56146","0.22177"
"5-OxoETE","5-OxoETE","5.42616","2.60382","0.10202","4.0326","1.64966","0.01949","23.02289","0.0134","0.30934","9.41766","1.8373","0.43548","20.12984","0.03768","2.56959","9.06134","0.64289","0.24354","3.98988","6.65095","0.00042","0.67533","4.85871","2.27"
"FA 20:4;O3","FA 20:4;O3","6.76904","0.46282","0.89141","4.49692","4.00003","7.54509","1.54963","0.01247","2.03643","0.74511","0.36365","17.21876","0.4313","0.0225","11.62036","0.35996","3.78285","3.99506","23.76271","3.22311","0.24774","3.1361","0.00216","3.32479"
