"","sample_name","group","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24"
"KT-539_D0_D60","KT-539_D0_D60","1","0.32636","1.26832","0.53395","-1.8227","0.04607","0.84339","0.11342","1.12065","-0.6791","0.02478","-0.25272","0.79342","-0.73637","-0.59432","-0.49076","-0.13649","-0.18202","-0.11192","-0.00317","0.03665","-0.01793","0.0128","0.12262","-0.09909"
"BS-671_D0_D60","BS-671_D0_D60","1","-1.34163","-1.74747","0.66745","1.61627","0.06595","0.50508","0.06469","-0.12637","0.18603","0.13254","0.42703","-0.26633","-0.05455","-0.32038","0.48701","-0.17427","0.11937","0.08592","0.17779","0.03888","0.0014","0.09476","0.07105","0.10614"
"KT-805_D0_D60","KT-805_D0_D60","1","-0.08423","-1.476","1.62319","-0.22964","-0.1976","0.82434","-0.92915","-0.56254","-0.30928","-0.03554","-0.11767","-0.37139","0.52638","-0.4117","-0.52436","0.1836","0.51163","-0.44956","0.33995","0.06999","-0.17643","-0.03746","0.03128","0.16694"
"BS-336_D0_D60","BS-336_D0_D60","1","-1.4333","0.22927","-0.7183","-1.06016","-0.4778","-1.08844","-0.03769","-0.45022","-0.88909","-0.64999","-0.13586","-0.37705","-0.37816","-0.36019","0.12414","0.40278","0.07648","0.27383","-0.0128","0.188","-0.09167","-0.15361","-0.26665","0.02455"
"BS-082_D0_D60","BS-082_D0_D60","1","-4.53184","4.94035","-0.68912","-2.20651","3.21771","0.40395","-0.08346","0.64489","0.50704","-0.41283","0.30424","-0.53756","0.77183","-0.19843","-0.36363","0.00009","-0.24318","0.16893","-0.04737","0.02049","-0.0472","0.16295","-0.05134","0.00183"
"BS-351_D0_D60","BS-351_D0_D60","1","-2.84532","1.69026","0.50822","0.87873","-0.12965","-0.34007","-1.19467","-0.42827","0.03867","0.14651","-0.57454","-0.46366","0.18509","0.31779","-0.03976","-0.13774","-0.39599","0.313","0.09233","-0.34291","-0.08567","0.11353","-0.04003","-0.00093"
"BS-377_D0_D60","BS-377_D0_D60","1","-1.23141","-0.5536","1.30566","0.91953","-0.62712","-0.24993","0.95076","-0.27519","0.46925","-0.52813","0.38757","0.92663","0.14681","0.14101","-1.13578","-0.46405","0.10278","0.1159","-0.46039","-0.06117","-0.033","-0.03042","0.04184","0.02927"
"KT-313_D0_D60","KT-313_D0_D60","1","-3.36759","2.30002","-1.2169","0.79711","-0.70024","0.38438","-0.90239","0.2688","0.55092","-0.43262","-0.42916","0.30315","0.39374","0.03308","0.21253","0.20237","0.02546","-0.11342","-0.00203","-0.25914","-0.09831","-0.23947","0.07805","0.0896"
"BS-364_D0_D60","BS-364_D0_D60","2","3.846","-0.66226","1.23374","-0.48528","-1.21462","2.00183","0.7786","-0.78872","0.28209","-1.07278","-0.7399","0.14099","0.02365","-0.0333","0.48691","-0.44439","-0.50288","-0.07333","0.0125","0.05244","0.039","0.05183","0.14509","0.07748"
"KT-880_D0_D60","KT-880_D0_D60","1","-3.84567","1.46161","-2.03791","0.12054","0.56331","-0.40608","-0.0729","0.58101","1.35166","-0.45981","-0.10488","0.40488","-0.36063","-0.21989","0.58471","0.20326","0.20264","-0.45626","-0.05682","0.02392","0.00474","-0.09038","0.05648","-0.02361"
"JV-138_D0_D60","JV-138_D0_D60","2","2.32392","-0.58688","-0.15818","-2.33656","-0.25741","0.24475","1.86951","0.94831","0.5808","0.09455","0.15357","-0.51156","-0.12225","0.16731","-0.02312","0.1665","0.20527","0.07169","0.15766","-0.3856","0.19551","0.01097","-0.03246","-0.0378"
"KT-412_D0_D60","KT-412_D0_D60","1","0.2908","1.41768","3.08597","1.20463","0.71213","2.27964","0.29252","1.27597","0.32616","0.81193","0.32708","-0.20449","0.34261","-0.27144","0.1021","0.19004","-0.25117","-0.24387","-0.25563","0.16368","0.08747","-0.03848","-0.19975","0.08168"
"KT-771_D0_D60","KT-771_D0_D60","1","0.56699","-2.3512","0.23454","-1.28635","-0.37768","-1.21932","-1.14147","1.02382","0.3542","-0.69887","0.21774","0.33379","0.1264","0.54606","0.00578","0.51399","-0.2925","0.04908","-0.02786","0.22861","0.25084","0.15936","0.0907","0.08182"
