"feature","KT-539_D0_D60","BS-671_D0_D60","KT-805_D0_D60","BS-336_D0_D60","BS-082_D0_D60","BS-351_D0_D60","BS-377_D0_D60","KT-313_D0_D60","BS-364_D0_D60","KT-880_D0_D60","JV-138_D0_D60","KT-412_D0_D60","KT-771_D0_D60","KT-723_D0_D60","KT-538_D0_D60","KT-716_D0_D60","KT-974_D0_D60","KT-537_D0_D60","KT-445_D0_D60","BS-346_D0_D60","KT-663_D0_D60","KT-695_D0_D60","BS-064_D0_D60","KT-705_D0_D60","KT-347_D0_D60","KT-515_D0_D60","KT-718_D0_D60","KT-417_D0_D60","KT-522_D0_D60","KT-312_D0_D60","JV-157_D0_D60","KT-193_D0_D60","JV-035_D0_D60","KT-434_D0_D60","KT-247_D0_D60","KT-612_D0_D60","KT-525_D0_D60","KT-352_D0_D60","JV-148_D0_D60"
"9-HODE","0.6154","0.60958","0.438","0.58234","0.86216","1.0394","0.55774","1.25764","-0.26922","1.08166","-0.09287","0.39892","0.04787","0.25177","0.83936","-0.41336","0.63577","0.07298","-0.208","0.81792","0.68453","1.19775","0.26057","1.30718","0.59102","-0.27133","0.8043","0.55538","0.49529","0.84888","0.41288","0.68836","0.65074","0.07942","-0.72077","-0.23177","0.92112","0.00819","0.68889"
"13-HODE","0.63826","0.7026","0.50513","0.4196","0.90007","0.99821","0.6683","1.06691","-0.04445","0.82922","-0.10223","0.96817","0.11284","0.25049","0.94345","-0.32319","0.63908","-0.10895","-0.15641","0.66782","0.40795","0.96176","0.52653","1.03636","1.00253","-0.00142","0.83495","0.69848","0.5871","0.71978","0.364","0.4259","0.64201","0.47102","-0.4941","-0.12893","0.85083","0.20952","0.53568"
"9,10-DiHOME","0.29183","0.67606","0.53957","0.35153","-0.33733","0.15117","0.76459","-0.10974","0.3211","0.06447","0.38025","0.50809","0.64128","0.75771","0.42168","0.46623","0.5592","0.3245","0.75722","0.82114","0.3897","-0.07837","0.73208","0.39716","0.81383","0.90792","0.71697","0.11687","0.72287","0.77348","0.2315","-0.49649","0.87494","0.9059","1.55828","-0.03669","0.27176","0.91076","0.39164"
"12,13-DiHOME","-0.14693","0.84228","0.37347","0.42575","-0.67871","0.37548","0.56237","-0.13897","0.39172","-0.06936","0.3534","0.22007","0.47418","0.78927","0.50123","0.31403","0.39613","0.91344","0.75129","0.87691","0.57847","0.01229","0.85385","0.43141","0.87926","0.83269","0.44482","0.27158","0.59955","0.79739","0.31786","-0.22521","1.08145","1.07144","1.50399","0.05021","0.29988","0.89002","0.30678"
"9-OxoODE","0.49825","0.75183","0.57382","0.49282","0.05636","0.41321","0.49949","0.42658","0.75551","0.45617","0.39791","0.568","0.51882","0.8921","0.91551","-0.02902","0.59421","0.26097","0.15836","1.15604","0.64573","0.29087","0.52553","0.40946","0.8949","0.72984","0.53321","0.87585","0.17373","0.59149","0.75083","0.64856","0.18311","0.02615","-0.11103","0.12565","0.14249","0.35629","0.8815"
"13-OxoODE","0.51117","0.7041","0.41163","0.54266","0.64927","0.36494","0.47714","0.45156","0.32852","0.69696","0.93222","0.63524","0.33875","0.83655","0.81143","-0.74088","0.87769","0.30136","0.33213","0.87461","0.81793","0.47747","0.64097","0.58319","0.721","0.60011","0.36142","0.31648","0.36336","0.43305","0.81872","0.60408","0.15296","0.12143","-0.25447","0.11896","0.42395","0.31429","0.71604"
"9,10,13-trihydroxy-11-octadecenoic acid","0.34965","0.73965","0.68174","0.50773","-0.22957","0.38162","0.52314","0.51758","0.59563","0.45802","0.28402","0.22679","0.65462","0.6617","0.54839","0.36447","0.48219","0.56766","0.30531","0.83814","0.63755","0.26447","0.5112","0.26311","0.59137","0.78481","0.67435","0.81668","0.13979","0.45813","1.11386","0.73485","0.25564","0.53308","0.25352","0.01531","0.16693","0.69123","0.6688"
"9S,12S,13S-trihydroxy-10E-octadecenoic acid","-0.0532","0.74611","0.73108","0.46251","-0.48507","0.44085","0.59348","0.51788","0.53161","0.26657","0.23908","0.10484","0.61403","0.65766","0.45889","0.32201","0.25049","0.69285","0.0889","0.76278","0.48912","0.39739","0.39844","0.30797","0.68402","0.85756","0.63534","0.47488","0.09682","0.6615","1.37244","0.45955","0.39075","0.93388","0.16295","-0.03882","0.00997","0.63258","0.74036"
"8,9-EET","0.36889","0.66259","0.48727","0.1997","-0.40783","0.354","0.7747","0.38239","0.80615","0.45652","0.67387","0.70226","0.78177","0.27641","0.34316","0.17172","0.48219","0.80424","0.54425","0.04889","0.52898","-0.20282","0.53298","0.24441","0.86537","0.63832","0.46548","0.52155","0.38801","0.36532","0.31308","0.42954","0.81528","1.07634","0.37133","0.3755","0.69144","0.70678","0.67729"
"5-HETE","0.26309","0.34369","0.15636","1.37858","0.85763","0.71221","0.19256","0.80998","-0.14465","1.19909","0.24778","-0.68173","0.23011","-0.28249","0.4401","-0.87448","1.07668","0.15706","0.29807","0.30244","1.12046","1.02108","0.07236","0.96004","0.01018","-0.0138","0.77561","-0.25606","1.32073","0.52094","0.10928","1.19463","0.44048","0.10062","-0.57235","0.32634","0.30671","0.50484","0.67916"
