"feature","LION.ID","LIPID.MAPS.ID","SwissLipids.ID","HMDB.ID","ChEBI.ID","KEGG.ID","LipidBank.ID","PubChem.CID","MetaNetX.ID","PlantFA.ID"
"FA 18:2;O","LION:0001750","LMFA01060201|LMFA01060214|LMFA01060223|LMFA01060232|LMFA01080011|LMFA02000035|LMFA02000036|LMFA02000037|LMFA02000038|LMFA02000054|LMFA02000055|LMFA02000057|LMFA02000065|LMFA02000066|LMFA02000151|LMFA02000152|LMFA02000153|LMFA02000154|LMFA02000155|LMFA02000182|LMFA02000187|LMFA02000188|LMFA02000189|LMFA02000190|LMFA02000217|LMFA02000218|LMFA02000219|LMFA02000227|LMFA02000228|LMFA02000265|LMFA02000266|LMFA02000267|LMFA02000268|LMFA02000276|LMFA02000280|LMFA02000282|LMFA02000283|LMFA02000287|LMFA02000290|LMFA02000291|LMFA02000308|LMFA02000311|LMFA02000315|LMFA02000316|LMFA02000318|LMFA02000325|LMFA02000355|LMFA02000356|LMFA02000370|LMFA02000394|LMFA02000398|LMFA02000399|LMFA02000400|LMFA02000401|LMFA02000405|LMFA02010012|LMFA02010013|LMFA07040140","SLM:000000958|SLM:000390171|SLM:000501150|SLM:000501359|SLM:000501361","HMDB0004667|HMDB0004670|HMDB0004701|HMDB0004702|HMDB0010223|HMDB0029796|HMDB0029978|HMDB0034297|HMDB0062652","132472|136927|137495|145302|165767|165768|165769|165770|165771|165772|165773|165794|165795|187928|187930|188199|188207|192539|27706|28932|34154|34494|34496|38299|68946|70850|72639|77895|78730|84023|84026|85150|86022|90850","C08318|C14762|C14767|C14825|C14826","","101967425|101967427|101967436|10308378|11150638|131839811|131839815|135024042|13723970|13801081|14289305|14861231|15160959|16061037|16061059|16061077|16061078|1927|21158511|21773182|24970825|44612156|45934094|5281117|5282944|5282945|5282946|5282947|5282948|5283014|5283018|52921871|5312774|5312829|5312830|5312831|5312832|5312857|5312858|5312859|5312910|5312911|5312912|5312913|5316080|5356421|56935845|6246154|6443013|6449780|71749263|75536015|87314906|92033088|9839164|9948134","MNXM39481","10189|10273|10278|10279|10280|10282|10323|10337|10390|10424|10425|10436|10452|10484|10490|10492|10526|10571|10580"
"FA 18:1;O2","LION:0001749","LMFA01050451|LMFA01050538|LMFA01050550|LMFA01060209|LMFA01060213|LMFA01170029|LMFA02000003|LMFA02000004|LMFA02000059|LMFA02000060|LMFA02000061|LMFA02000062|LMFA02000063|LMFA02000067|LMFA02000068|LMFA02000069|LMFA02000070|LMFA02000071|LMFA02000072|LMFA02000073|LMFA02000074|LMFA02000075|LMFA02000076|LMFA02000078|LMFA02000079|LMFA02000080|LMFA02000081|LMFA02000082|LMFA02000097|LMFA02000116|LMFA02000117|LMFA02000118|LMFA02000119|LMFA02000161|LMFA02000162|LMFA02000163|LMFA02000164|LMFA02000225|LMFA02000229|LMFA02000230|LMFA02000302|LMFA02000327|LMFA02000385","SLM:000389542|SLM:000501345|SLM:000501360|SLM:000501362","HMDB0000782|HMDB0004704|HMDB0004705|HMDB0031679","133086|138255|138258|165758|165759|165760|165761|165783|165784|165785|165786|185632|448|72663|72665|75831|77754|77755|84027|84028|85587|85589","C07355|C14828|C14829","","10236635|11758840|12235231|12235236|13801082|13926388|14284759|14951704|16061035|16061045|16061046|24011602|25320870|446302|446303|5281030|5282958|5282959|5282960|5282961|53477454|53477455|54097868|56935841|56935842|56935843|56935846|56935847|56935848|56935849|56935850|56935851|56935852|56935853|56935854|56935855|56935856|56935857|56935858|56935873|70095|9966640","","10305|10306|10307|10501|10518"
"FA 18:3;O","LION:0001751","LMFA01031025|LMFA01031164|LMFA01031165|LMFA01050307|LMFA01060226|LMFA01060231|LMFA01070028|LMFA01070036|LMFA01140048|LMFA01150001|LMFA01150009|LMFA01150027|LMFA01150041|LMFA01150042|LMFA01150043|LMFA01150058|LMFA02000015|LMFA02000016|LMFA02000024|LMFA02000029|LMFA02000033|LMFA02000039|LMFA02000040|LMFA02000041|LMFA02000042|LMFA02000043|LMFA02000044|LMFA02000051|LMFA02000156|LMFA02000157|LMFA02000173|LMFA02000183|LMFA02000215|LMFA02000216|LMFA02000239|LMFA02000251|LMFA02000252|LMFA02000272|LMFA02000274|LMFA02000281|LMFA02000301|LMFA02000305|LMFA02000306|LMFA02000312|LMFA02000321|LMFA02000322|LMFA02000358|LMFA02000367|LMFA02000368|LMFA02000369|LMFA02000395|LMFA02010002|LMFA02010003|LMFA02010004|LMFA02010005|LMFA02010006|LMFA02010007|LMFA07040139|LMFA10000001|LMFA10000008|LMFA10000010","SLM:000501294","HMDB0004668|HMDB0004669|HMDB0010200|HMDB0010203|HMDB0010206|HMDB0010220|HMDB0030995|HMDB0039603|HMDB0061644|HMDB0062288|HMDB0112093|HMDB0112099|HMDB0112102","133329|137132|137754|15654|165397|165764|165765|165766|165777|165778|165796|173125|185293|186633|186674|187071|187947|34491|49265|60956|68947|72641|72815|72842|72843|76234|80447|84441|88441|88460|88462|90781","C04780|C13798|C14765|C14766|C16316|C16326|C16342","","101929482|101929483|102586820|10469728|10870132|11289408|11380863|129681591|131839796|131839805|131839807|131839808|131839810|131839812|131839813|134812139|134812248|137323802|13963863|13963864|14754245|16061040|16061051|16061058|16061060|16061061|16061062|16061063|16061064|16061065|16061072|16061073|16061074|16061075|16061076|20054934|22590937|25246008|349300|395943|44256502|45934076|5280729|5282949|5282950|5282971|5283011|5283012|5312775|5312855|5312856|53685760|5716902|6439873|6441681|6446027|71751402|90478988|9839084","","10191|10277|10281|10284|10285|10409|10410|10435|10444|10445|10446|10447|10448|10491|10516|10519|10524|10525|10572|10583|10584"
"FA 18:1;O3","LION:0001749","LMFA01050543|LMFA01050555|LMFA01150073|LMFA02000011|LMFA02000014|LMFA02000165|LMFA02000168|LMFA02000169|LMFA02000221|LMFA02000222|LMFA02000223|LMFA02000294|LMFA02000317|LMFA02000330|LMFA02000331|LMFA02000332|LMFA02000333|LMFA02000334|LMFA02000335|LMFA02000336|LMFA02000337|LMFA02000338|LMFA02000339|LMFA02000340|LMFA02000341|LMFA02000342|LMFA02000343|LMFA02000363","","HMDB0004708|HMDB0004710|HMDB0030936|HMDB0038555","138082|165804|168756|183593|185042|187093|34499|34506","C14833|C14835","","11099581|134812112|14414118|14414119|14968867|14968868|14968869|14968870|16061050|16089911|16089912|21159010|44139365|5282962|5282965|5282966|5312877|5312878|5312879|78383979|92281450|92966006|92966007|92966008|9858729|9880604|9923590","","10411|10555|10565|10567"
"FA 20:4;O","LION:0001756","LMFA01030719|LMFA01070046|LMFA02000377|LMFA02000378|LMFA03060001|LMFA03060002|LMFA03060003|LMFA03060005|LMFA03060006|LMFA03060007|LMFA03060008|LMFA03060009|LMFA03060021|LMFA03060023|LMFA03060024|LMFA03060026|LMFA03060027|LMFA03060028|LMFA03060030|LMFA03060054|LMFA03060055|LMFA03060058|LMFA03060059|LMFA03060061|LMFA03060062|LMFA03060063|LMFA03060064|LMFA03060065|LMFA03060066|LMFA03060067|LMFA03060069|LMFA03060074|LMFA03060082|LMFA03060084|LMFA03060085|LMFA03060086|LMFA03060087|LMFA03060088|LMFA03060089|LMFA03060091|LMFA03060092|LMFA03060093|LMFA03060094|LMFA03060103|LMFA03060104|LMFA03060105|LMFA03060106|LMFA03060110|LMFA03060118|LMFA03080001|LMFA03080002|LMFA03080003|LMFA03080004|LMFA03080005|LMFA03080013|LMFA03080014|LMFA03080015|LMFA03080016|LMFA03080017|LMFA03080018|LMFA03080019|LMFA03090010|LMFA03090011","SLM:000000849|SLM:000000990|SLM:000389383|SLM:000389384|SLM:000389416|SLM:000389804|SLM:000500469|SLM:000501191|SLM:000501196|SLM:000501198|SLM:000501200|SLM:000501230|SLM:000501232|SLM:000501336|SLM:000501363|SLM:000501366|SLM:000501486|SLM:000501487|SLM:000501488|SLM:000501489|SLM:000501490|SLM:000501491|SLM:000501492|SLM:000501493|SLM:000501494","HMDB0002190|HMDB0002232|HMDB0002283|HMDB0002344|HMDB0003876|HMDB0004264|HMDB0004673|HMDB0004679|HMDB0004680|HMDB0004682|HMDB0005998|HMDB0006111|HMDB0006245|HMDB0010222|HMDB0010409|HMDB0011134|HMDB0011136|HMDB0012508|HMDB0012567|HMDB0012598|HMDB0062294|HMDB0062302|HMDB0062433","131964|131965|131969|131970|131974|131975|131992|132016|132019|132274|132275|132276|132277|132302|132303|134453|137345|138332|15558|165259|165260|165280|165288|171868|175105|28209|34126|34130|34144|34146|34157|34162|34185|34306|34450|34484|34486|34490|34495|57409|60943|63579|63590|63989|63994|63995|63998|64017|65341|72606|72643|72785|72786|76624|76625|76627|77934|78836|83343|84024|84025|84447|90632|90680|90716|90718|90790|91132","C04742|C04805|C14748|C14749|C14768|C14769|C14770|C14771|C14776|C14777|C14778|C14779|C14780|C14822|C14824","DFA8110|DFA8111|DFA8112|DFA8113|DFA8127|DFA8128|DFA8129|DFA8131|DFA8132|DFA8133|DFA8134|DFA8135|DFA8136|DFA8138|DFA8139|DFA8140|DFA8141|XPR6114","101939320|10829545|10914199|11088509|11141754|11976122|137323810|13786989|14123398|14123410|16061123|20839325|25320407|40490652|40490656|40490662|40490664|5280724|5280733|5283152|5283153|5283154|5283155|5283156|5283157|5283163|5283164|5283165|5283166|5283167|5283168|5283169|5283201|5283202|5283203|5283204|5283205|5312974|5312975|5312978|5312979|5312981|5312982|5312983|5312984|5312985|5312986|5312987|53480479|53481450|53481471|5353269|6440419|6440524|6440793|6442739|6442740|6442778|9543626|9548883|9548884|9862886|9966861","MNXM13979|MNXM2059|MNXM33752|MNXM33797|MNXM6048",""
"FA 20:5","LION:0001757","LMFA01030180|LMFA01030396|LMFA01030397|LMFA01030693|LMFA01030694|LMFA01030695|LMFA01030759|LMFA01030760|LMFA01031033|LMFA01031116|LMFA01031117|LMFA01031233|LMFA01140004|LMFA01140083|LMFA01140109|LMFA03000019","SLM:000000409|SLM:000001275","HMDB0001999","165460|184172|189012|28364|29457|58562|61330","C06428|C12083","DFA0219","101408067|101408068|137323822|13829676|146682603|21773816|446284|5282061|5282846|5312545|5312546|6443815|87771207|9543605|9543606|9972184","MNXM57074","10140|10412"
"FA 20:4;O3","LION:0001756","LMFA01030749|LMFA03000029|LMFA03000030|LMFA03000031|LMFA03000032|LMFA03000035|LMFA03010003|LMFA03010004|LMFA03010007|LMFA03010008|LMFA03010010|LMFA03010022|LMFA03010026|LMFA03010031|LMFA03010060|LMFA03010087|LMFA03010094|LMFA03010101|LMFA03010102|LMFA03010138|LMFA03010143|LMFA03010146|LMFA03010148|LMFA03010170|LMFA03020018|LMFA03030001|LMFA03040001|LMFA03040002|LMFA03040003|LMFA03040007|LMFA03040008|LMFA03040010|LMFA03050025|LMFA03100001|LMFA03100002|LMFA03100003|LMFA03100004|LMFA03100005|LMFA03100006|LMFA03100007|LMFA03100008|LMFA03100009|LMFA03100010|LMFA03100011|LMFA03100012|LMFA03100013|LMFA03100014|LMFA03100015|LMFA03100016|LMFA03100017|LMFA03100018|LMFA03100019|LMFA03100020|LMFA03100021|LMFA03100022|LMFA03100023|LMFA03100024|LMFA03100025|LMFA03100026|LMFA03100027|LMFA03100028|LMFA03100029|LMFA03100030|LMFA03100031|LMFA03100032|LMFA03100033|LMFA03100034|LMFA03100035|LMFA03100036|LMFA03110003|LMFA03110005|LMFA03110007|LMFA03110050|LMFA03110051|LMFA03110052|LMFA03110053|LMFA03110054|LMFA03110055|LMFA03110056|LMFA03110057|LMFA03110064|LMFA03110065|LMFA03110066|LMFA03110067|LMFA03110068|LMFA03110069|LMFA03110070|LMFA03110077|LMFA03110078|LMFA03110079|LMFA03110080|LMFA03110081|LMFA03110082|LMFA03110083|LMFA03110084|LMFA03110085|LMFA03110092|LMFA03110093|LMFA03110094|LMFA03110095|LMFA03110096|LMFA03110097|LMFA03110098|LMFA03110099|LMFA03110106|LMFA03110107|LMFA03110115|LMFA03110116|LMFA03110117|LMFA03110120|LMFA03110121|LMFA03110122|LMFA03110124|LMFA03110125|LMFA03110126|LMFA03110127|LMFA03110128|LMFA03110129|LMFA03110130|LMFA03110131|LMFA03110132|LMFA03110171|LMFA03110172|LMFA03110173|LMFA03110174|LMFA03110175|LMFA03110176|LMFA03110177|LMFA03110178|LMFA03110179|LMFA03110180|LMFA03110181|LMFA03110182|LMFA03110183|LMFA03110184|LMFA03110185|LMFA03110186|LMFA03110187|LMFA03110188|LMFA03110189|LMFA03110190|LMFA03110191|LMFA03110192|LMFA03110193|LMFA03110194|LMFA03110195|LMFA03110196|LMFA03110197|LMFA03110198|LMFA03110199|LMFA03110200|LMFA03110201|LMFA03110202|LMFA03110203|LMFA03110204|LMFA03110205|LMFA03110206|LMFA03110207|LMFA03110208|LMFA03110209|LMFA03110210|LMFA03110211|LMFA03110212|LMFA03110213|LMFA03110214|LMFA03110215|LMFA03110216|LMFA03110217|LMFA03110218|LMFA03110221|LMFA03110222|LMFA03110223|LMFA03110224|LMFA03110225|LMFA03110226|LMFA03110227|LMFA03110228|LMFA03110229|LMFA03110230|LMFA03110231|LMFA03110232|LMFA03110233|LMFA03110234|LMFA03110235|LMFA03110236|LMFA03110237|LMFA03110238|LMFA03110239|LMFA03110240|LMFA03110241|LMFA03110242|LMFA03110243|LMFA03110244|LMFA03140001|LMFA03150002|LMFA04000106","SLM:000000426|SLM:000000427|SLM:000000916|SLM:000389595|SLM:000389597|SLM:000390029|SLM:000390039|SLM:000390040|SLM:000390041|SLM:000501194","HMDB0001220|HMDB0001320|HMDB0001335|HMDB0001381|HMDB0001403|HMDB0001452|HMDB0001509|HMDB0002122|HMDB0002132|HMDB0002363|HMDB0002400|HMDB0002776|HMDB0004240|HMDB0004385|HMDB0005077|HMDB0005082|HMDB0005844|HMDB0012564|HMDB0060041|HMDB0060042|HMDB0062291","131888|140932|15548|15550|15551|15552|15554|15555|15627|15646|157746|165277|165327|165340|175523|183003|28442|34820|34821|36075|57401|57403|57405|57406|57445|57460|606564|63990|63991|63993|6498|6499|67026|67031|72603|72789|78325","C00427|C00584|C00696|C01312|C02198|C04654|C04671|C04853|C05960|C06314|C06315|C06476|C13807|C13808","XPR1301|XPR1401|XPR1502|XPR1511|XPR1704|XPR1706|XPR1709|XPR1711|XPR1712|XPR1742|XPR1771|XPR1772|XPR1780|XPR1790|XPR1797|XPR1798|XPR1801|XPR2001|XPR3120|XPR4001|XPR4101|XPR8048","101860644|10247450|11221902|12314580|12314584|12314587|12314594|126457317|131839969|131839970|131839971|131839972|131839973|131839974|131839975|131839976|131839977|131839978|131839979|131839980|131839981|131839982|131839983|131839984|131839985|131839986|131839987|131839988|131839989|131839990|131839991|131839992|131839993|131839994|131839995|131839996|131839997|131839998|131839999|131840000|131840001|131840002|131840003|131840004|131840005|131840006|131840007|131840008|131840009|131840010|131840011|131840012|131840013|131840014|131840015|131840016|131840017|131840018|131840019|131840020|131840021|131840022|131840023|131840024|131840025|131840026|131840027|131840028|131840029|131840030|131840031|131840032|131840033|131840034|131840035|131840036|131840037|131840038|131840039|131840329|13292829|13292830|13292831|13292837|16061102|25755784|26436117|35020595|35020603|35021823|35021833|42607306|445049|448457|51520481|51651896|5280360|5280497|5280710|5280711|5280745|5280887|5280914|5280915|5280940|5282261|5282262|5282411|5283030|5283031|5283036|5283061|5283086|5283093|5283094|5283114|5283116|5283213|5283215|5283217|52921885|52921904|52921905|52921906|52921907|52921908|52921909|52921910|52921911|52921912|52921913|52921914|52921915|52921916|52921917|52921918|52921919|52921920|52921921|52921922|52921923|52921924|52921925|52921926|52921927|52921928|52921929|52921930|52921931|52921932|52921933|52921934|52921935|52921946|52921947|52921948|52921949|52921950|52921951|52921952|52921953|52921961|52921962|52921963|52921964|52921965|52921966|52921973|52921974|52921975|52921976|52921977|52921978|52921979|52921980|52921981|52921988|52921989|52921991|53477459|53477468|53477469|53477470|53481470|5353726|5771742|6450019|9548876|9841438|9928453","MNXM1197|MNXM12129|MNXM1445|MNXM661",""
"FA 20:3;O4","LION:0001755","LMFA03010001|LMFA03010013|LMFA03010029|LMFA03010042|LMFA03010147|LMFA03010232|LMFA03020043|LMFA03030002|LMFA03130001|LMFA03130002|LMFA03130003|LMFA03130004|LMFA03130005|LMFA03130006|LMFA03130007|LMFA03130008|LMFA03130009|LMFA03130010|LMFA03130011|LMFA03130012|LMFA03130013|LMFA03130014|LMFA03130015|LMFA03130016|LMFA03130017|LMFA03130018|LMFA03130019|LMFA03130020|LMFA03130021|LMFA03130022|LMFA03130023|LMFA03130024|LMFA03130025|LMFA03130026|LMFA03130027|LMFA03130028|LMFA03130029|LMFA03130030|LMFA03130031|LMFA03130032|LMFA03130033|LMFA03130034|LMFA03130035|LMFA03130036|LMFA03130037|LMFA03130038|LMFA03130039|LMFA03130040|LMFA03130041|LMFA03130042|LMFA03130043|LMFA03130044|LMFA03130045|LMFA03130046|LMFA03130047|LMFA03130048|LMFA03130049|LMFA03130050|LMFA03130051|LMFA03130052|LMFA03130053|LMFA03130054|LMFA03130055|LMFA03130056|LMFA03130057|LMFA03130058|LMFA03130059|LMFA03130060|LMFA03130061|LMFA03130062|LMFA03130063|LMFA03130064|LMFA03130065|LMFA03130066|LMFA03130067|LMFA03130068|LMFA03130069|LMFA03130070|LMFA03130071|LMFA03130072|LMFA03130073|LMFA03130074|LMFA03130075|LMFA03130076|LMFA03130077|LMFA03130078|LMFA03130079|LMFA03130080|LMFA03130081|LMFA03130082|LMFA03130083|LMFA03130084|LMFA03130085|LMFA03130086|LMFA03130087|LMFA03130088|LMFA03130089|LMFA03130090|LMFA03130091|LMFA03130092|LMFA03130093|LMFA03130094|LMFA03130095|LMFA03130096|LMFA03130097|LMFA03130098|LMFA03130099|LMFA03130100|LMFA03130101|LMFA03130102|LMFA03130103|LMFA03130104|LMFA03130105|LMFA03130106|LMFA03130107|LMFA03130108|LMFA03130109|LMFA03130110|LMFA03130111|LMFA03130112|LMFA03130113|LMFA03130114|LMFA03130115|LMFA03130116|LMFA03130117|LMFA03130118|LMFA03130119|LMFA03130120|LMFA03130121|LMFA03130122|LMFA03130123|LMFA03130124|LMFA03130125|LMFA03130126|LMFA03130127|LMFA03130128|LMFA03130129|LMFA03130130|LMFA03130131|LMFA03130132|LMFA03130133|LMFA03130134|LMFA03130135|LMFA03130136|LMFA03130137|LMFA03130138|LMFA03130139|LMFA03130140|LMFA03130141|LMFA03130142|LMFA03130143|LMFA03130144|LMFA03130145|LMFA03130146|LMFA03130147|LMFA03130148|LMFA03130149|LMFA03130150|LMFA03130151|LMFA03130152|LMFA03130153|LMFA03130154|LMFA03130155|LMFA03130156|LMFA03130157|LMFA03130158|LMFA03130159|LMFA03130160|LMFA03130161|LMFA03130162|LMFA03130163|LMFA03130164|LMFA03130165|LMFA03130166|LMFA03130167|LMFA03130168|LMFA03130169|LMFA03130170|LMFA03130171|LMFA03130172|LMFA03130173|LMFA03130174|LMFA03130175|LMFA03130176|LMFA03130177|LMFA03130178|LMFA03130179|LMFA03130180|LMFA03130181|LMFA03130182|LMFA03130183|LMFA03130184|LMFA03130185|LMFA03130186|LMFA03130187|LMFA03130188|LMFA03130189|LMFA03130190|LMFA03130191|LMFA03130192|LMFA03130193|LMFA03130194|LMFA03130195|LMFA03130196|LMFA03130197|LMFA03130198|LMFA03130199|LMFA03130200|LMFA03130201|LMFA03130202|LMFA03130203|LMFA03130204|LMFA03130205|LMFA03130206|LMFA03130207|LMFA03130208|LMFA03130209|LMFA03130210|LMFA03130211|LMFA03130212|LMFA03130213|LMFA03130214|LMFA03130215|LMFA03130216|LMFA03130217|LMFA03130218|LMFA03130219|LMFA03130220|LMFA03130221|LMFA03130222|LMFA03130223|LMFA03130224|LMFA03130225|LMFA03130226|LMFA03130227|LMFA03130228|LMFA03130229|LMFA03130230|LMFA03130231|LMFA03130232|LMFA03130233|LMFA03130234|LMFA03130235|LMFA03130236|LMFA03130237|LMFA03130238|LMFA03130239|LMFA03130240|LMFA03130241|LMFA03130242|LMFA03130243|LMFA03130244|LMFA03130245|LMFA03130246|LMFA03130247|LMFA03130248|LMFA03130249|LMFA03130250|LMFA03130251|LMFA03130252|LMFA03130253|LMFA03130254|LMFA03130255|LMFA03130256|LMFA03130257|LMFA03130258|LMFA03130259|LMFA03130260|LMFA03130261|LMFA03130262|LMFA03130263|LMFA03130264","","HMDB0001979|HMDB0002886|HMDB0003252|HMDB0004049|HMDB0012502","137526|165312|165315|165322|28158|28728","C05961|C05963","XPR1710|XPR1715|XPR1722|XPR1723|XPR1811|XPR2101","11176169|11406072|11530811|11639288|126457318|126457319|126457320|126457321|126457322|126457323|126457324|126457325|131840076|131840077|131840078|131840079|131840080|131840081|131840082|131840083|131840084|131840085|131840086|131840087|131840088|131840089|131840090|131840091|131840092|131840093|131840094|131840095|131840096|131840097|131840098|131840099|131840100|131840101|131840102|131840103|131840104|131840105|131840106|131840107|131840108|131840109|131840110|131840111|131840112|131840113|131840114|131840115|131840116|131840117|131840118|131840119|131840120|131840121|131840122|131840123|131840124|131840125|131840126|131840127|131840128|131840129|131840130|131840131|131840132|131840133|131840134|131840135|131840136|131840137|131840138|131840139|131840140|131840141|131840142|131840143|131840144|131840145|131840146|131840147|131840148|131840149|131840150|131840151|131840152|131840153|131840154|131840155|131840156|131840157|131840158|131840159|131840160|131840161|131840162|131840163|131840164|131840165|131840166|131840167|131840168|131840169|131840170|131840171|131840172|131840173|131840174|131840175|131840176|131840177|131840178|131840179|131840180|131840181|131840182|131840183|131840184|131840185|131840186|131840187|131840188|131840189|131840190|131840191|131840192|131840193|131840194|131840195|131840196|131840197|131840198|131840199|131840200|131840201|131840202|131840203|131840204|131840205|131840206|131840207|131840208|131840209|131840210|131840211|131840212|131840213|131840214|131840215|131840216|131840217|131840218|131840219|131840220|131840221|131840222|131840223|131840224|131840225|131840226|131840227|131840228|131840229|131840230|131840231|131840232|131840233|131840234|131840235|131840236|131840237|131840238|131840239|131840240|131840241|131840242|131840243|131840244|131840245|131840246|131840247|131840248|131840249|131840250|131840251|131840252|131840253|131840254|131840255|131840256|131840257|131840258|131840259|131840260|131840261|131840262|131840263|131840264|131840265|131840266|131840267|131840268|131840269|131840270|131840271|131840272|131840273|131840274|131840275|131840276|131840277|131840278|131840279|131840280|131840281|131840282|131840283|131840284|131840285|131840286|131840287|131840288|131840289|131840290|131840291|131840292|131840293|131840294|131840295|131840296|131840297|131840298|131840299|131840300|131840301|131840302|131840303|131840304|131840305|131840306|131840307|131840308|131840309|131840310|131840311|131840312|131840313|131840314|131840315|131840316|131840317|131840318|131840319|131840320|131840321|131840322|131840323|131840324|131840325|131840326|131840327|174013|5280888|5283040|5283047|5283115|5283137|53481447|6443810","",""
"FA 20:5;O","LION:0001757","LMFA01030717|LMFA01050603|LMFA03000001|LMFA03000002|LMFA03000003|LMFA03000004|LMFA03000006|LMFA03010171|LMFA03020023|LMFA03020034|LMFA03020037|LMFA03020038|LMFA03020039|LMFA03050020|LMFA03050021|LMFA03060011|LMFA03060019|LMFA03060051|LMFA03060057|LMFA03060060|LMFA03060068|LMFA03060111|LMFA03070002|LMFA03070003|LMFA03070004|LMFA03070005|LMFA03070006|LMFA03070007|LMFA03070008|LMFA03070009|LMFA03070010|LMFA03070025|LMFA03070027|LMFA03070028|LMFA03070029|LMFA03070030|LMFA03070031|LMFA03070032|LMFA03070033|LMFA03070037|LMFA03070038|LMFA03070053|LMFA03070054|LMFA03070055|LMFA03070058|LMFA07040133|LMFA10000006","SLM:000000863|SLM:000000968|SLM:000000970|SLM:000389387|SLM:000389388|SLM:000389389|SLM:000500468|SLM:000500470|SLM:000501148|SLM:000501244|SLM:000501299|SLM:000501300|SLM:000501303|SLM:000501363|SLM:000501366|SLM:000501479|SLM:000501480","HMDB0001337|HMDB0002232|HMDB0004264|HMDB0005081|HMDB0010202|HMDB0010205|HMDB0010209|HMDB0010210|HMDB0010212|HMDB0010217|HMDB0012534|HMDB0012611|HMDB0013633|HMDB0062222|HMDB0062293|HMDB0062296|HMDB0062408","131889|132083|132087|132801|136632|137193|137267|137269|140934|15559|15651|157747|165262|165265|165274|165275|185661|28367|34151|34157|34490|52449|57410|57463|63983|65342|72627|72645|72801|72802|72853|75231|75326|76633|76634|76636|76639|76953|76962|81563|84024|84025|88345|88347|89570|90737|90818|90819|90825|91140|91264","C00909|C02645|C04577|C13843|C14732|C14769|C14771|C14807|C18177","DFA8119|DFA8120|DFA8121|DFA8122|DFA8123|DFA8124|DFA8125|DFA8126|DFA8156|DFA8157|DFA8158|XPR3001","10041593|101718205|14377676|16061086|16061087|16061088|16061089|16061103|16061117|16061126|16061128|16061129|16061130|16061131|16061132|22832944|24875302|42607307|42607308|5280383|5280534|5280701|5282277|5283159|5283162|5283185|5283186|5283187|5283188|5283189|5283190|5283191|5283192|5283193|52921883|52921892|52921893|5312977|5312980|53480357|53481496|6439678|72551579|73242173|77846324|9543624","MNXM146872|MNXM2458|MNXM26601|MNXM30196|MNXM33281|MNXM33584|MNXM33734",""
"FA 22:6;O","LION:0001765","LMFA01050604|LMFA03010163|LMFA04000012|LMFA04000024|LMFA04000025|LMFA04000026|LMFA04000027|LMFA04000028|LMFA04000029|LMFA04000030|LMFA04000031|LMFA04000032|LMFA04000033|LMFA04000034|LMFA04000035|LMFA04000036|LMFA04000037|LMFA04000038|LMFA04000058|LMFA04000059|LMFA04000060|LMFA04000072","SLM:000501205|SLM:000501297|SLM:000501496","HMDB0010213|HMDB0013620|HMDB0013621","132025|132325|136563|136569|137346|137347|138640|165253|72608|72610|72613|72615|72623|72624|72637|72640|72647|72653|72794|72855|77124|90814|90866|91137","","","11046191|11537494|11559259|11566378|11595378|11631564|11631565|11638767|11653103|11674605|11976798|14392758|14429109|16061095|16061142|16061143|52921998|52921999|52922000|53477502|6439179|72715842","",""
