"feature","class","Lipid.Maps.Category","Species.Name","Molecular.Species.Name","Structural.Species.Name","Level","Mass","Sum.Formula","Total.FA","Total.C","Total.DB","Total.OH","FA","FA.C","FA.DB","FA.OH","LCB","LCB2","LCB.C","LCB.DB","LCB.OH","LCB.Bond.Type","FA1","FA1.C","FA1.DB","FA1.OH","FA1.Bond.Type","FA2","FA2.C","FA2.DB","FA2.OH","FA2.Bond.Type","FA3","FA3.C","FA3.DB","FA3.OH","FA3.Bond.Type","FA4","FA4.C","FA4.DB","FA4.OH","FA4.Bond.Type","Category","Main.Class","Sub.Class","Cellular.Component","Function","Bond.type","Headgroup.Charge","Lateral.Diffusion","Bilayer.Thickness","Intrinsic.Curvature","Transition.Temperature","FA.Unsaturation.Category1","FA.Unsaturation.Category2","FA.Chain.Length.Category1","FA.Chain.Length.Category2","FA.Chain.Length.Category3","LION.abbr","GATOM.abbr","LIPIDMAPS.reaction.abbr"
"FA 18:2;O","FA","FA","FA 18:2;O","FA 18:2;O","FA 18:2;O","SN_POSITION","296.23515","C18H32O3","18:2;O","18","2","1","18:2;O","18","2","1","","","","","","","18:2;O","18","2","1","ESTER","","","","","","","","","","","","","","","","Fatty acyls [FA]","fatty acids and conjugates [FA01]","","","","","headgroup with negative charge","","","","","Polyunsaturated fatty acid","FA with 2 double bonds","FA with 18 carbons or less","FA with 16-18 carbons","Long-chain FA","FFA(18:2)","FA 18:2;O","fattyacid"
"FA 18:1;O2","FA","FA","FA 18:1;O2","FA 18:1;O2","FA 18:1;O2","SN_POSITION","314.24571","C18H34O4","18:1;O2","18","1","2","18:1;O2","18","1","2","","","","","","","18:1;O2","18","1","2","ESTER","","","","","","","","","","","","","","","","Fatty acyls [FA]","fatty acids and conjugates [FA01]","","","","","headgroup with negative charge","","","","","FA with less than 2 double bonds","Monounsaturated fatty acid","FA with 18 carbons or less","FA with 16-18 carbons","Long-chain FA","FFA(18:1)","FA 18:1;O2","fattyacid"
"FA 18:3;O","FA","FA","FA 18:3;O","FA 18:3;O","FA 18:3;O","SN_POSITION","294.21949","C18H30O3","18:3;O","18","3","1","18:3;O","18","3","1","","","","","","","18:3;O","18","3","1","ESTER","","","","","","","","","","","","","","","","Fatty acyls [FA]","fatty acids and conjugates [FA01]","","","","","headgroup with negative charge","","","","","Polyunsaturated fatty acid","FA with more than 2 double bonds","FA with 18 carbons or less","FA with 16-18 carbons","Long-chain FA","FFA(18:3)","FA 18:3;O","fattyacid"
"FA 18:1;O3","FA","FA","FA 18:1;O3","FA 18:1;O3","FA 18:1;O3","SN_POSITION","330.24062","C18H34O5","18:1;O3","18","1","3","18:1;O3","18","1","3","","","","","","","18:1;O3","18","1","3","ESTER","","","","","","","","","","","","","","","","Fatty acyls [FA]","fatty acids and conjugates [FA01]","","","","","headgroup with negative charge","","","","","FA with less than 2 double bonds","Monounsaturated fatty acid","FA with 18 carbons or less","FA with 16-18 carbons","Long-chain FA","FFA(18:1)","FA 18:1;O3","fattyacid"
"FA 20:4;O","FA","FA","FA 20:4;O","FA 20:4;O","FA 20:4;O","SN_POSITION","320.23515","C20H32O3","20:4;O","20","4","1","20:4;O","20","4","1","","","","","","","20:4;O","20","4","1","ESTER","","","","","","","","","","","","","","","","Fatty acyls [FA]","fatty acids and conjugates [FA01]","","","","","headgroup with negative charge","","","","","Polyunsaturated fatty acid","FA with more than 2 double bonds","FA with more than 18 carbons","FA with 19-21 carbons","Long-chain FA","FFA(20:4)","FA 20:4;O","fattyacid"
"FA 20:5","FA","FA","FA 20:5","FA 20:5","FA 20:5","SN_POSITION","302.22458","C20H30O2","20:5","20","5","0","20:5","20","5","0","","","","","","","20:5","20","5","0","ESTER","","","","","","","","","","","","","","","","Fatty acyls [FA]","fatty acids and conjugates [FA01]","","","","","headgroup with negative charge","","","","","Polyunsaturated fatty acid","FA with more than 2 double bonds","FA with more than 18 carbons","FA with 19-21 carbons","Long-chain FA","FFA(20:5)","FA 20:5","fattyacid"
"FA 20:4;O3","FA","FA","FA 20:4;O3","FA 20:4;O3","FA 20:4;O3","SN_POSITION","352.22497","C20H32O5","20:4;O3","20","4","3","20:4;O3","20","4","3","","","","","","","20:4;O3","20","4","3","ESTER","","","","","","","","","","","","","","","","Fatty acyls [FA]","fatty acids and conjugates [FA01]","","","","","headgroup with negative charge","","","","","Polyunsaturated fatty acid","FA with more than 2 double bonds","FA with more than 18 carbons","FA with 19-21 carbons","Long-chain FA","FFA(20:4)","FA 20:4;O3","fattyacid"
"FA 20:3;O4","FA","FA","FA 20:3;O4","FA 20:3;O4","FA 20:3;O4","SN_POSITION","370.23554","C20H34O6","20:3;O4","20","3","4","20:3;O4","20","3","4","","","","","","","20:3;O4","20","3","4","ESTER","","","","","","","","","","","","","","","","Fatty acyls [FA]","fatty acids and conjugates [FA01]","","","","","headgroup with negative charge","","","","","Polyunsaturated fatty acid","FA with more than 2 double bonds","FA with more than 18 carbons","FA with 19-21 carbons","Long-chain FA","FFA(20:3)","FA 20:3;O4","fattyacid"
"FA 20:5;O","FA","FA","FA 20:5;O","FA 20:5;O","FA 20:5;O","SN_POSITION","318.21949","C20H30O3","20:5;O","20","5","1","20:5;O","20","5","1","","","","","","","20:5;O","20","5","1","ESTER","","","","","","","","","","","","","","","","Fatty acyls [FA]","fatty acids and conjugates [FA01]","","","","","headgroup with negative charge","","","","","Polyunsaturated fatty acid","FA with more than 2 double bonds","FA with more than 18 carbons","FA with 19-21 carbons","Long-chain FA","FFA(20:5)","FA 20:5;O","fattyacid"
"FA 22:6;O","FA","FA","FA 22:6;O","FA 22:6;O","FA 22:6;O","SN_POSITION","344.23515","C22H32O3","22:6;O","22","6","1","22:6;O","22","6","1","","","","","","","22:6;O","22","6","1","ESTER","","","","","","","","","","","","","","","","Fatty acyls [FA]","fatty acids and conjugates [FA01]","","","","","headgroup with negative charge","","","","","Polyunsaturated fatty acid","FA with more than 5 double bonds","FA with more than 18 carbons","FA with 22-24 carbons","Very long-chain FA","FFA(22:6)","FA 22:6;O","fattyacid"
