"feature","KT-539_D0_D60","BS-671_D0_D60","KT-805_D0_D60","BS-336_D0_D60","BS-082_D0_D60","BS-351_D0_D60","BS-377_D0_D60","KT-313_D0_D60","BS-364_D0_D60","KT-880_D0_D60","JV-138_D0_D60","KT-412_D0_D60","KT-771_D0_D60","KT-723_D0_D60","KT-538_D0_D60","KT-716_D0_D60","KT-974_D0_D60","KT-537_D0_D60","KT-445_D0_D60","BS-346_D0_D60","KT-663_D0_D60","KT-695_D0_D60","BS-064_D0_D60","KT-705_D0_D60","KT-347_D0_D60","KT-515_D0_D60","KT-718_D0_D60","KT-417_D0_D60","KT-522_D0_D60","KT-312_D0_D60","JV-157_D0_D60","KT-193_D0_D60","JV-035_D0_D60","KT-434_D0_D60","KT-247_D0_D60","KT-612_D0_D60","KT-525_D0_D60","KT-352_D0_D60","JV-148_D0_D60"
"FA 18:2;O","0.17032","-0.0118","-0.12686","0.06355","0.69433","0.62266","-0.13253","0.8039","-0.86164","0.59188","-0.48974","-0.03659","-0.57329","-0.42533","0.29058","-0.53396","0.04307","-0.25907","-0.62175","0.17908","0.05241","0.90706","-0.30229","0.92335","-0.06305","-0.98923","0.15099","-0.09262","0.05375","0.30602","-0.02615","0.03899","0.21196","-0.0809","-0.6664","-0.37979","0.61322","-0.5346","0.05919"
"FA 18:1;O2","-0.15325","0.05468","-0.02529","-0.16725","-0.50515","-0.26557","0.07432","-0.56348","-0.27132","-0.42531","-0.01663","0.07258","0.02011","0.08061","-0.12711","0.34563","-0.03349","-0.00755","0.34348","0.1823","-0.24242","-0.36907","0.16921","0.01333","0.15976","0.19002","0.06366","-0.53113","0.28133","0.23062","-0.20753","-1.14586","0.43616","0.74559","1.61265","-0.18471","-0.03614","0.36797","-0.23807"
"FA 18:3;O","0.05317","0.13046","0.00896","-0.02596","-0.11147","-0.00353","-0.19078","-0.02717","0.16309","-0.03362","0.00103","0.13249","-0.10234","0.215","0.36673","-0.14962","0.00152","-0.07107","-0.25538","0.5172","0.01361","0.00018","-0.03733","0.02563","0.24082","0.01194","-0.12011","0.22785","-0.26781","0.04863","0.3118","-0.00081","-0.25566","-0.13416","-0.05666","-0.02237","-0.16541","-0.1865","0.2518"
"FA 18:1;O3","-0.09543","0.11828","0.11688","-0.01105","-0.3974","-0.03511","-0.16713","0.06383","0.00321","-0.03176","-0.11285","-0.20872","0.03346","-0.01541","-0.00039","0.24386","-0.1105","0.23561","-0.10844","0.1993","0.00543","-0.02622","-0.05167","-0.12071","-0.06271","0.06691","0.02104","0.16868","-0.30175","-0.08473","0.67483","0.08548","-0.18314","0.37277","0.30789","-0.13271","-0.14097","0.14844","0.0391"
"FA 20:4;O","-0.07619","0.04122","-0.07759","-0.31909","-0.57566","-0.06273","0.08443","-0.07136","0.21372","-0.03326","0.27699","0.26675","0.16061","-0.40069","-0.20563","0.05111","-0.1105","0.47219","0.1305","-0.58995","-0.10315","-0.49352","-0.02988","-0.13942","0.2113","-0.07958","-0.18783","-0.12645","-0.05353","-0.17754","-0.12596","-0.21982","0.3765","0.91603","0.4257","0.22748","0.38354","0.16399","0.04758"
"FA 20:5","-0.04624","-0.12075","-0.05259","0.06354","0.52632","-0.11593","0.1904","0.06742","-0.02816","0.13363","0.30955","-0.33799","-0.13593","0.06474","0.13038","-1.21753","-0.00352","0.09473","0.02056","-0.05223","0.02543","0.21445","-0.27373","0.34373","0.06898","-0.10659","0.05054","-0.55946","0.19767","-0.30407","0.05038","0.08776","-0.29841","-0.08036","-0.60563","0.20538","-0.39173","-0.22012","0.11088"
"FA 20:4;O3","0.16591","-0.33599","-0.33699","0.20613","0.416","0.10946","0.12299","0.11431","-0.61259","0.15786","-0.0128","-0.47418","-0.00112","-0.3376","0.00967","-0.75904","0.08108","0.02756","-0.01463","-0.21903","0.14238","0.22957","-0.37186","0.42926","-0.40614","-0.47719","0.12124","-0.28434","0.17329","-0.06059","0.21579","0.21344","0.08361","-0.09612","-0.2569","0.02972","0.04423","0.07583","0.01445"
"FA 20:3;O4","1.01527","-0.43934","-0.05202","0.02953","-0.51159","-0.96327","-0.36712","-0.85727","0.41157","-0.79904","1.14039","0.20864","0.61004","0.07066","-0.43249","1.67193","-0.09092","1.04178","0.73103","-1.12701","-0.66775","-0.24188","-0.09137","-0.16978","-1.32234","0.18158","-0.57012","-0.05815","-0.60607","-1.01791","0.77521","-0.90815","0.52359","1.11183","0.78904","1.24639","1.04563","-0.18388","-0.25"
"FA 20:5;O","-0.04328","-0.08017","0.11688","-0.0007","0.66951","0.27126","-0.09153","0.01294","-0.45347","0.1114","0.03771","-0.12666","0.17679","0.00362","0.07345","-0.31029","-0.05512","-0.18753","0.28761","0.03627","0","-0.16331","0.11386","-0.01508","-0.14571","0.07528","-0.03547","0.14787","-0.1941","0.07604","-0.73714","0.1921","-0.17646","-0.10368","-0.10714","-0.22061","-0.02416","0.1856","-0.01802"
"FA 22:6;O","0.07622","0.13898","0.34589","-0.31644","0.13314","0.17399","0.18461","-0.22141","0.27135","-0.48993","-0.03618","0.75051","-0.62403","-0.73004","-0.00978","0.22801","0.16949","-0.25248","-0.06482","-0.78013","-0.02501","0.32457","0.57784","-0.29884","0.09907","-0.31025","-0.15875","0.14631","0.45879","0.21305","-0.53324","-0.1326","-0.01924","0.11204","0.09246","0.68425","0.3362","-0.1698","-0.02524"
