"","feature","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"FA 18:2;O","FA 18:2;O","14.93059","0.57729","0.91262","11.52147","38.89345","0.00232","0.14851","9.74797","6.54646","16.71934"
"FA 18:1;O2","FA 18:1;O2","13.09718","1.42524","0.3975","10.51031","9.68309","45.5933","9.66694","6.06613","3.3375","0.22282"
"FA 18:3;O","FA 18:3;O","0.65299","36.12831","5.30092","4.91971","2.03377","5.11554","1.98221","32.58354","0.01064","11.27237"
"FA 18:1;O3","FA 18:1;O3","6.24302","23.6493","9.91059","0.00798","8.13956","2.95137","11.45276","1.90018","29.86285","5.88238"
"FA 20:4;O","FA 20:4;O","14.29569","7.50267","6.44871","1.0748","0.05138","4.14514","50.95633","0.26916","13.25362","2.00249"
"FA 20:5","FA 20:5","14.18482","0.23761","10.48651","0.65965","32.12163","17.26448","1.12331","0.08939","4.05666","19.77594"
"FA 20:4;O3","FA 20:4;O3","13.58302","3.83846","30.67979","0.1297","2.37081","0.04053","0.39221","0.28201","7.53624","41.14723"
"FA 20:3;O4","FA 20:3;O4","14.20449","2.43562","10.87472","0.89849","6.61519","20.44629","7.41991","34.62084","0.03193","2.45252"
"FA 20:5;O","FA 20:5;O","7.49093","5.24797","6.83192","41.2102","0.07084","4.28268","15.70822","14.25959","4.51489","0.38276"
"FA 22:6;O","FA 22:6;O","1.31729","18.95752","18.15672","29.06769","0.02029","0.15834","1.14961","0.1812","30.84921","0.14214"
