"","sample_name","group","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"KT-539_D0_D60","KT-539_D0_D60","1","-0.2873","0.4621","-0.52761","0.60228","0.28384","-0.71224","-0.65462","-1.00094","0.05289","-0.33518"
"BS-671_D0_D60","BS-671_D0_D60","1","0.53962","-0.83393","0.87919","0.37663","-0.22243","0.44354","0.46046","0.16386","-0.07365","0.33715"
"KT-805_D0_D60","KT-805_D0_D60","2","0.40099","-0.0189","1.09925","-0.02842","0.11009","-0.21716","0.4231","0.03601","-0.81558","0.73129"
"BS-336_D0_D60","BS-336_D0_D60","1","-1.23285","-0.3183","-0.73081","-0.45865","0.08886","-0.42906","-0.81213","0.15588","-0.05877","-0.13638"
"BS-082_D0_D60","BS-082_D0_D60","1","-4.63203","2.07607","0.57314","-1.09445","0.45953","-0.52757","-0.24129","-0.8797","-0.64071","0.39333"
"BS-351_D0_D60","BS-351_D0_D60","1","-1.80344","0.54401","0.74458","-0.08831","-1.17579","-0.20214","0.84317","-0.00877","-0.11598","-0.07909"
"BS-377_D0_D60","BS-377_D0_D60","1","-0.45093","1.44953","-0.33616","0.15211","0.44197","0.7128","-0.24718","0.90348","-0.02884","-0.13276"
"KT-313_D0_D60","KT-313_D0_D60","1","-2.06959","-0.38306","-0.4638","0.44021","-0.93949","-0.41181","0.65615","0.57766","0.55122","0.47044"
"BS-364_D0_D60","BS-364_D0_D60","2","2.19011","-0.95292","0.9908","1.49295","2.00453","0.18581","0.0331","0.69998","0.48913","0.11212"
"KT-880_D0_D60","KT-880_D0_D60","1","-2.17139","-0.25325","-0.71581","-0.4683","-0.50181","-0.1597","0.54299","0.38886","0.93164","0.23993"
"JV-138_D0_D60","JV-138_D0_D60","2","0.53991","0.84439","-0.8734","-0.23411","1.87291","0.02974","0.19926","-0.76955","0.15105","0.01869"
"KT-412_D0_D60","KT-412_D0_D60","2","1.4677","0.89613","2.13585","1.50721","0.16988","0.35849","0.23783","-0.55749","0.46825","-0.15023"
"KT-771_D0_D60","KT-771_D0_D60","2","0.64729","-0.03156","-0.99372","-1.97754","0.6294","-0.75221","0.16148","0.01203","0.60951","-0.30473"
"KT-723_D0_D60","KT-723_D0_D60","1","-0.23596","-2.09647","0.30651","-1.42794","1.08543","0.18396","-1.05135","-0.32157","0.67783","0.35982"
"KT-538_D0_D60","KT-538_D0_D60","1","-1.44906","-1.309","0.5953","0.39529","0.12964","0.55735","0.24144","-1.08101","-0.20934","-0.27831"
"KT-716_D0_D60","KT-716_D0_D60","2","4.81256","-0.35922","1.31098","0.13414","-1.24883","-2.07873","-1.20245","0.2789","0.3426","0.33183"
"KT-974_D0_D60","KT-974_D0_D60","1","-0.56378","0.4805","0.16805","0.38141","0.09405","0.14321","-0.46582","0.0529","-0.12226","-0.31638"
"KT-537_D0_D60","KT-537_D0_D60","2","1.46661","-0.09394","-2.08491","0.14256","0.57604","-0.27961","0.72043","0.02086","0.17507","0.23327"
"KT-445_D0_D60","KT-445_D0_D60","2","0.73587","1.74607","-0.36744","-1.872","0.84841","-0.22648","-0.14263","-0.10322","-0.27133","0.07597"
"BS-346_D0_D60","BS-346_D0_D60","1","-1.40644","-3.93121","0.76022","-1.10018","-0.56787","0.9243","-0.50712","-0.71097","0.17252","-0.00255"
"KT-663_D0_D60","KT-663_D0_D60","1","-1.12862","-0.15598","-0.05603","0.04966","-0.10074","0.03401","0.16112","0.57091","-0.16313","-0.39426"
"KT-695_D0_D60","KT-695_D0_D60","1","-2.29603","0.15204","-0.1779","1.72557","-0.67476","-0.22211","-0.97227","0.03864","-0.64805","0.58519"
"BS-064_D0_D60","BS-064_D0_D60","2","0.955","0.84874","1.87984","-0.04526","-0.00283","-0.03724","0.05622","0.0973","-0.63503","0.17503"
"KT-705_D0_D60","KT-705_D0_D60","1","-2.44468","0.30696","-1.49661","0.30324","-0.62431","0.65759","-0.49483","-0.68957","0.44636","0.15371"
