,Chi2,p-value,p-value (BH corrected)
DG,5.747979323308268,0.016507634005564046,0.10694998937384867
CAR,4.413768796992484,0.035649996457949557,0.10694998937384867
CE,0.6652725563909783,0.41470468054923515,0.5183808506865439
Cer,0.0,1.0,1.0
Chol,0.0,1.0,1.0
HexCer,4.413768796992484,0.035649996457949557,0.10694998937384867
LPC,2.126550751879701,0.14476619644361308,0.21714929466541963
PC,3.0795582706766904,0.07928205591587303,0.16590278018915383
PE,0.029934210526315973,0.862639591019358,0.9953533742531054
SM,2.126550751879701,0.14476619644361308,0.21714929466541963
TG,3.0795582706766904,0.07928205591587303,0.16590278018915383
FA,1.2370770676691718,0.2660351186466848,0.36277516179093383
PI,5.747979323308268,0.016507634005564046,0.10694998937384867
Sex vs Severity,2.901785714285715,0.0884814827675487,0.16590278018915383
Age vs Severity,4.5027709359605925,0.03383997529754909,0.10694998937384867
