,Chi2,p-value,p-value (BH corrected)
DG 30:0,0.010360010360010372,0.9189280178118044,1.0
DG 32:0,4.546564546564547,0.03298486499645653,0.24438786338283702
DG 32:1,1.443001443001443,0.22965425863747851,0.7599724110792796
DG 34:1,4.94949494949495,0.026098291541307057,0.24438786338283702
DG 34:3,0.76555023923445,0.38159715132404115,0.8088911796720838
DG 36:3,2.525252525252525,0.11203684368556334,0.5072779311318563
DG 34:2,4.94949494949495,0.026098291541307057,0.24438786338283702
DG 36:1,4.583333333333334,0.032284353910766866,0.24438786338283702
DG 36:2,12.222222222222221,0.00047223649963052994,0.038487274719888186
DG 36:4,0.03276003276003268,0.8563696732877363,1.0
CAR 16:0,0.10101010101010101,0.7506208241656307,1.0
CAR 18:1,0.10101010101010101,0.7506208241656307,1.0
CAR 18:2,2.525252525252525,0.11203684368556334,0.5072779311318563
CAR 2:0,0.0,1.0,1.0
CAR 3:0,0.76555023923445,0.38159715132404115,0.8088911796720838
CAR 8:0,0.010360010360010372,0.9189280178118044,1.0
CE 16:1,0.0,1.0,1.0
CE 18:1,0.009300162752848219,0.9231732281945361,1.0
CE 18:2,2.525252525252525,0.11203684368556334,0.5072779311318563
Cer 34:1;O2,0.29863855950812446,0.5847371830973564,1.0
Cer 40:1;O2,0.0,1.0,1.0
Cer 41:1;O2,0.24242424242424243,0.6224606558934542,1.0
Cer 42:1;O2,0.6734006734006734,0.4118684840579513,0.8606995243775135
Cer 42:2;O2,0.10101010101010101,0.7506208241656307,1.0
Cer 42:3;O2,0.0,1.0,1.0
HexCer 42:1;O2,1.3916947250280582,0.23811910955613266,0.7599724110792796
HexCer 42:2;O2,0.10101010101010102,0.7506208241656307,1.0
LPC 13:0,0.031689443454149355,0.8587109678890685,1.0
LPC 14:0,0.10101010101010101,0.7506208241656307,1.0
LPC 15:0,0.0,1.0,1.0
LPC 16:0,0.9090909090909092,0.34035574238519883,0.7599724110792796
LPC 16:1,0.0,1.0,1.0
LPC 17:0,0.0,1.0,1.0
LPC 18:0,0.9090909090909092,0.34035574238519883,0.7599724110792796
LPC 18:1,0.10101010101010101,0.7506208241656307,1.0
LPC 18:2,0.0,1.0,1.0
LPC 18:3,0.10101010101010101,0.7506208241656307,1.0
LPC 20:3,0.10101010101010101,0.7506208241656307,1.0
LPC 20:4,0.0,1.0,1.0
LPC 20:5,0.0,1.0,1.0
LPC 22:5,0.10101010101010101,0.7506208241656307,1.0
LPC 22:6,0.0,1.0,1.0
LPC O-16:0,0.9090909090909092,0.34035574238519883,0.7599724110792796
LPC 16:0/16:1,0.10101010101010101,0.7506208241656307,1.0
LPC 16:1/16:2,0.9090909090909092,0.34035574238519883,0.7599724110792796
LPC 18.0/18:1,3.4809634809634815,0.06207858570878812,0.43994823784923753
LPC 18:1/18:2,0.10101010101010101,0.7506208241656307,1.0
PC 30:0,0.7999183756759519,0.3711177749725927,0.8088911796720838
PC 32:0,0.9090909090909092,0.34035574238519883,0.7599724110792796
PC 32:1,0.9090909090909092,0.34035574238519883,0.7599724110792796
PC 32:2,0.10101010101010101,0.7506208241656307,1.0
PC 34:0,0.0,1.0,1.0
PC 34:1,12.222222222222221,0.00047223649963052994,0.038487274719888186
PC 34:2,4.94949494949495,0.026098291541307057,0.24438786338283702
PC 34:3,2.525252525252525,0.11203684368556334,0.5072779311318563
PC 34:4,0.0,1.0,1.0
PC 36:0,2.8282828282828283,0.09261734149401628,0.5072779311318563
PC 36:1,0.9090909090909092,0.34035574238519883,0.7599724110792796
PC 36:2,0.9090909090909092,0.34035574238519883,0.7599724110792796
PC 36:3,0.9090909090909092,0.34035574238519883,0.7599724110792796
PC 36:4,0.9090909090909092,0.34035574238519883,0.7599724110792796
PC 36:5,0.10101010101010101,0.7506208241656307,1.0
PC 38:2,0.10101010101010101,0.7506208241656307,1.0
PC 38:3,0.9090909090909092,0.34035574238519883,0.7599724110792796
PC 38:4,0.0,1.0,1.0
PC 38:5,0.9090909090909092,0.34035574238519883,0.7599724110792796
PC 38:6,0.10101010101010101,0.7506208241656307,1.0
PC 38:7,0.10101010101010101,0.7506208241656307,1.0
PC 40:4,0.9090909090909092,0.34035574238519883,0.7599724110792796
PC 40:5,0.10101010101010101,0.7506208241656307,1.0
PC 40:6,0.0,1.0,1.0
PC 40:7,0.0,1.0,1.0
PC 40:8,0.0,1.0,1.0
PC O-32:0,0.10101010101010101,0.7506208241656307,1.0
PC 32:1;O/32:0;P,0.10101010101010101,0.7506208241656307,1.0
PC 34:0;O,0.0,1.0,1.0
