,Chi2,p-value
DG 30:0,1.0532407407407405,0.3047618940366026
DG 32:0,0.0,1.0
DG 32:1,0.22053571428571378,0.6386320338113531
DG 34:1,0.22053571428571378,0.6386320338113531
DG 34:3,0.050781250000000035,0.8217093743039579
DG 36:3,0.0,1.0
DG 34:2,1.2370770676691718,0.2660351186466848
DG 36:1,1.2370770676691718,0.2660351186466848
DG 36:2,0.0,1.0
DG 36:4,0.0,1.0
CAR 16:0,0.0,1.0
CAR 18:1,0.0,1.0
CAR 18:2,0.0,1.0
CAR 2:0,0.0,1.0
CAR 3:0,0.0,1.0
CAR 8:0,0.0,1.0
CE 16:1,0.4234605911330053,0.5152153080626902
CE 18:1,0.0,1.0
CE 18:2,0.22053571428571378,0.6386320338113531
Cer 34:1;O2,0.006109022556390982,0.93770059195896
Cer 40:1;O2,0.22053571428571378,0.6386320338113531
Cer 41:1;O2,1.2370770676691718,0.2660351186466848
Cer 42:1;O2,0.0,1.0
Cer 42:2;O2,0.0,1.0
Cer 42:3;O2,0.006109022556390982,0.93770059195896
HEXCER 42:1;O2,0.0,1.0
HEXCER 42:2;O2,0.0,1.0
LPC 13:0,0.5223214285714285,0.4698531031018389
LPC 14:0,1.2370770676691718,0.2660351186466848
LPC 15:0,0.0,1.0
LPC 16:0,0.22053571428571378,0.6386320338113531
LPC 16:1,1.2370770676691718,0.2660351186466848
LPC 17:0,0.22053571428571378,0.6386320338113531
LPC 18:0,0.0,1.0
LPC 18:1,3.0795582706766904,0.07928205591587303
LPC 18:2,0.22053571428571378,0.6386320338113531
LPC 18:3,1.2370770676691718,0.2660351186466848
LPC 20:3,0.22053571428571378,0.6386320338113531
LPC 20:4,0.0,1.0
LPC 20:5,0.0,1.0
LPC 22:5,0.0,1.0
LPC 22:6,0.22053571428571378,0.6386320338113531
LPC O-16:0,0.029934210526315973,0.862639591019358
LPC 16:0/16:1,0.029934210526315973,0.862639591019358
LPC 16:1/16:2,1.2370770676691718,0.2660351186466848
LPC 18.0/18:1,0.05027692895339962,0.82258209558989
LPC 18:1/18:2,0.005677406832298096,0.9399373789042087
PC 30:0,1.2370770676691718,0.2660351186466848
PC 32:0,1.2370770676691718,0.2660351186466848
PC 32:1,3.0795582706766904,0.07928205591587303
PC 32:2,3.0795582706766904,0.07928205591587303
PC 34:0,0.0,1.0
PC 34:1,5.747979323308268,0.016507634005564046
PC 34:2,1.2370770676691718,0.2660351186466848
PC 34:3,5.747979323308268,0.016507634005564046
PC 34:4,1.2370770676691718,0.2660351186466848
PC 36:0,0.6022058823529409,0.4377376176153639
PC 36:1,1.2370770676691718,0.2660351186466848
PC 36:2,1.2370770676691718,0.2660351186466848
PC 36:3,1.2370770676691718,0.2660351186466848
PC 36:4,3.0795582706766904,0.07928205591587303
PC 36:5,1.2370770676691718,0.2660351186466848
PC 38:2,0.0,1.0
PC 38:3,0.22053571428571378,0.6386320338113531
PC 38:4,0.22053571428571378,0.6386320338113531
PC 38:5,3.0795582706766904,0.07928205591587303
PC 38:6,1.2370770676691718,0.2660351186466848
PC 38:7,3.0795582706766904,0.07928205591587303
PC 40:4,1.2370770676691718,0.2660351186466848
PC 40:5,3.0795582706766904,0.07928205591587303
PC 40:6,1.2370770676691718,0.2660351186466848
PC 40:7,3.0795582706766904,0.07928205591587303
PC 40:8,1.2370770676691718,0.2660351186466848
PC O-32:0,0.22053571428571378,0.6386320338113531
PC 32:1;O/32:0;P,1.2370770676691718,0.2660351186466848
PC 34:0;O,0.0,1.0
PC 34:0;P/34:1;O,0.0,1.0
PC 34:1;P/34:2;O,0.0,1.0
PC 36:1;P/36:2;O,1.2370770676691718,0.2660351186466848
PC 36:2;P/36:3;O,0.0,1.0
PC 36:3;P/36:3;O,0.22053571428571378,0.6386320338113531
PC 38:2;P/38:3;O,0.22053571428571378,0.6386320338113531
PC 38:3;P/38:4;O,1.2370770676691718,0.2660351186466848
PC 38:4;P/38:5;O,0.22053571428571378,0.6386320338113531
PC 40:3;P/40:4;O,0.029934210526315973,0.862639591019358
PC 42:3;P/42:4;O,0.0,1.0
PE 38:4,0.0,1.0
PE 36:3;P/36:4;O,0.0,1.0
PE 38:4;P/38:5;O,0.007204433497536895,0.9323576392883465
SM 32:1;O2,0.22053571428571378,0.6386320338113531
SM 33:1;O2,1.2370770676691718,0.2660351186466848
SM 34:0;O2,0.0,1.0
SM 34:1;O2,0.22053571428571378,0.6386320338113531
SM 34:2;O2,0.0,1.0
SM 35:1;O2,0.22053571428571378,0.6386320338113531
SM 36:0;O2,0.0,1.0
SM 36:1;O2,0.0,1.0
SM 36:2;O2,0.0,1.0
SM 37:1;O2,0.03413865546218495,0.8534121931518788
SM 38:1;O2,0.0,1.0
SM 38:2;O2,0.22053571428571378,0.6386320338113531
SM 39:1;O2,0.0,1.0
SM 40:0;O2,0.0,1.0
SM 40:1;O2,0.029934210526315973,0.862639591019358
SM 40:2;O2,0.0,1.0
SM 40:3;O2,0.13431122448979604,0.7140032347880836
SM 41:1;O2,0.029934210526315973,0.862639591019358
SM 41:2;O2,0.029934210526315973,0.862639591019358
SM 42:1;O2,0.0,1.0
SM 42:2;O2,0.0,1.0
SM 42:3;O2,0.0,1.0
SM 42:4;O2,0.22053571428571378,0.6386320338113531
SM 43:1;O2,0.0,1.0
SM 43:2;O2,0.050781250000000035,0.8217093743039579
TG 46:1,1.031829777365492,0.30972929274943684
TG 46:2,0.005677406832298096,0.9399373789042087
TG 48:0,1.1285873724489797,0.28807685555439894
TG 48:1,1.2370770676691718,0.2660351186466848
TG 48:2,1.2370770676691718,0.2660351186466848
TG 48:3,0.0,1.0
TG 49:1,0.11607142857142858,0.7333350312303649
TG 49:2,1.2370770676691718,0.2660351186466848
TG 50:0,1.2370770676691718,0.2660351186466848
TG 50:1,1.9082395186335397,0.16715894696110314
TG 50:2,0.22053571428571378,0.6386320338113531
TG 50:3,0.050781250000000035,0.8217093743039579
TG 50:4,0.0,1.0
TG 51:1,1.2370770676691718,0.2660351186466848
TG 51:2,1.2370770676691718,0.2660351186466848
TG 52:1,0.22053571428571378,0.6386320338113531
TG 52:2,1.0839781746031742,0.29780931276023814
TG 52:3,0.22053571428571378,0.6386320338113531
TG 52:4,0.22053571428571378,0.6386320338113531
TG 52:5,1.2370770676691718,0.2660351186466848
TG 54:2,0.0,1.0
TG 54:3,1.2370770676691718,0.2660351186466848
TG 54:4,0.22053571428571378,0.6386320338113531
TG 54:5,0.0,1.0
TG 54:6,0.48352040816326525,0.4868320287812178
TG 56:5,0.22053571428571378,0.6386320338113531
TG 56:6,0.0,1.0
TG 56:7,0.22053571428571378,0.6386320338113531
TG 56:8,0.0,1.0
TG 58:11,0.1450892857142856,0.7032730928248718
TG 58:5,1.2370770676691718,0.2660351186466848
TG 58:7,0.22053571428571378,0.6386320338113531
TG 58:8,0.22053571428571378,0.6386320338113531
TG 58:9,0.09119897959183684,0.7626583993709595
FA 14:0,0.0,1.0
FA 16:0,0.029934210526315973,0.862639591019358
FA 16:1,0.6652725563909783,0.41470468054923515
FA 18:0,2.126550751879701,0.14476619644361308
FA 18:1,0.0,1.0
FA 18:2,0.0,1.0
FA 18:3,0.0,1.0
FA 20:3,0.0,1.0
FA 20:4,0.0,1.0
FA 22:6,0.023401497695852577,0.8784176112494346
PI 34:1,0.22053571428571378,0.6386320338113531
PI 34:2,0.0,1.0
PI 36:2,0.22053571428571378,0.6386320338113531
PI 36:4,1.2370770676691718,0.2660351186466848
PI 38:3,0.22053571428571378,0.6386320338113531
PI 38:4,3.0795582706766904,0.07928205591587303
