,Chi2,p-value,p-value (BH corrected)
DG 30:0,0.017150999155643137,0.8958055078502888,1.0
DG 32:0,2.05324901491697,0.15188176923500454,0.655489740908967
DG 32:1,0.14256768048128354,0.7057416168308079,1.0
DG 34:1,0.6191510695187157,0.4313629288311962,0.969089319565975
DG 34:3,0.8458501951149009,0.3577289544171932,0.969089319565975
DG 36:3,2.05324901491697,0.15188176923500454,0.655489740908967
DG 34:2,0.6191510695187157,0.4313629288311962,0.969089319565975
DG 36:1,0.0,1.0,1.0
DG 36:2,0.6191510695187157,0.4313629288311962,0.969089319565975
DG 36:4,0.0,1.0,1.0
CAR 16:0,1.325497818744724,0.24960774253978762,0.7723711278589654
CAR 18:1,1.325497818744724,0.24960774253978762,0.7723711278589654
CAR 18:2,3.2304935969603172,0.07227890025823178,0.5644637924928577
CAR 2:0,0.0,1.0,1.0
CAR 3:0,0.8458501951149009,0.3577289544171932,0.969089319565975
CAR 8:0,0.017150999155643137,0.8958055078502888,1.0
CE 16:1,0.40353817075419474,0.5252676320298539,1.0
CE 18:1,0.0006517379679144339,0.9796328904086407,1.0
CE 18:2,1.325497818744724,0.24960774253978762,0.7723711278589654
Cer 34:1;O2,1.695170454545455,0.19292078942523794,0.7723711278589654
Cer 40:1;O2,0.11908386131132291,0.7300302475769349,1.0
Cer 41:1;O2,0.6387032085561498,0.42418077456530967,0.969089319565975
Cer 42:1;O2,0.47511697860962554,0.4906424899350531,1.0
Cer 42:2;O2,0.0,1.0,1.0
Cer 42:3;O2,0.054311497326203204,0.8157239215105279,1.0
HEXCER 42:1;O2,1.1896390374331554,0.2754023788007369,0.8364072245059417
HEXCER 42:2;O2,0.0,1.0,1.0
LPC 13:0,0.0,1.0,1.0
LPC 14:0,0.9580548128342247,0.32767745334713017,0.9596268276594525
LPC 15:0,0.0,1.0,1.0
LPC 16:0,3.2304935969603172,0.07227890025823178,0.5644637924928577
LPC 16:1,5.970262806079372,0.014549112337672638,0.47721088467566253
LPC 17:0,0.0,1.0,1.0
LPC 18:0,9.54480544610189,0.0020051607891029203,0.14067530326183622
LPC 18:1,1.325497818744724,0.24960774253978762,0.7723711278589654
LPC 18:2,0.0,1.0,1.0
LPC 18:3,1.325497818744724,0.24960774253978762,0.7723711278589654
LPC 20:3,1.325497818744724,0.24960774253978762,0.7723711278589654
LPC 20:4,0.0,1.0,1.0
LPC 20:5,0.0,1.0,1.0
LPC 22:5,0.07157944996180303,0.7890508333049301,1.0
LPC 22:6,0.0,1.0,1.0
LPC O-16:0,9.54480544610189,0.0020051607891029203,0.14067530326183622
LPC 16:0/16:1,0.40353817075419474,0.5252676320298539,1.0
LPC 16:1/16:2,3.2304935969603172,0.07227890025823178,0.5644637924928577
LPC 18.0/18:1,2.6387595181353176,0.10428494225208813,0.655489740908967
LPC 18:1/18:2,0.43076045926391915,0.5116160382320021,1.0
PC 30:0,0.019826555023923303,0.8880225706938752,1.0
PC 32:0,0.0,1.0,1.0
PC 32:1,7.425765198423865,0.0064296477324983,0.2636155570324303
PC 32:2,0.010664803111327191,0.9177482613300447,1.0
PC 34:0,0.0,1.0,1.0
PC 34:1,4.322120391218686,0.03762001663484006,0.5644637924928577
