Familly;Conditions;Méthanol;Vero DMSO CHIKV R1;Vero DMSO CHIKV R2;Vero DMSO CHIKV R3;Vero HMN214 CHIKV R1;Vero HMN214 CHIKV R2;Vero HMN214 CHIKV R3;Vero Simvastatin CHIKV R1;Vero Simvastatin CHIKV R2;Vero Simvastatin CHIKV R3;Vero Atorvastatin CHIKV R1;Vero Atorvastatin CHIKV R2;Vero Atorvastatin CHIKV R3;Vero Fenretinide CHIKV R1;Vero Fenretinide CHIKV R2;Vero Fenretinide CHIKV R3;Vero Proflavine CHIKV R1;Vero Proflavine CHIKV R2;Vero Proflavine CHIKV R3;Vero DMSO  R1;Vero DMSO  R2;Vero DMSO  R3;Vero HMN214  R1;Vero HMN214 R2;Vero HMN214  R3;Vero Simvastatin  R1;Vero Simvastatin  R2;Vero Simvastatin  R3;Vero Atorvastatin  R1;Vero Atorvastatin  R2;Vero Atorvastatin R3;Vero Fenretinide  R1;Vero Fenretinide  R2;Vero Fenretinide  R3;Vero Proflavine  R1;Vero Proflavine  R2;Vero Proflavine  R3;C636 DMSO  R1;C636 DMSO  R2;C636 DMSO  R3;C636 Simvastatin  R1;C636 Simvastatin  R2;C636 Simvastatin  R3;C636 CHIKV  R1;C636 CHIKV  R2;C636 CHIKV  R3;C636 Simvastatin + CHIKVR1;C636 Simvastatin+CHIKV  R2;C636 Simvastatin+CHIKV  R3
DG;Total of DG;0,00000;0,00019;0,00034;0,00020;0,00003;0,00001;0,00010;0,00001;0,00000;0,00000;0,00001;0,00002;0,00001;0,00003;0,00000;0,00005;0,00000;0,00000;0,00000;0,00001;0,00001;0,00007;0,00005;0,00003;0,00012;0,00002;0,00001;0,00002;0,00001;0,00000;0,00001;0,00000;0,00001;0,00001;0,00000;0,00000;0,00000;0,00000;0,00008;0,00004;0,00003;0,00001;0,00003;0,00011;0,00012;0,00011;0,00005;0,00006;0,00007
CER;Total of CER;0,00000;0,00028;0,00026;0,00024;0,00017;0,00020;0,00020;0,00014;0,00012;0,00010;0,00015;0,00015;0,00012;0,00007;0,00007;0,00005;0,00017;0,00015;0,00012;0,00013;0,00012;0,00016;0,00022;0,00013;0,00018;0,00014;0,00010;0,00016;0,00012;0,00013;0,00015;0,00006;0,00007;0,00006;0,00013;0,00011;0,00012;0,00021;0,00039;0,00054;0,00059;0,00023;0,00043;0,00051;0,00055;0,00071;0,00044;0,00078;0,00058
CHOL;Total of Cholesterol;0,00000;0,00010;0,00006;0,00007;0,00007;0,00015;0,00007;0,00010;0,00007;0,00006;0,00011;0,00008;0,00004;0,00005;0,00010;0,00006;0,00007;0,00008;0,00004;0,00014;0,00013;0,00005;0,00009;0,00006;0,00004;0,00006;0,00005;0,00004;0,00007;0,00012;0,00010;0,00012;0,00006;0,00003;0,00005;0,00006;0,00007;0,00021;0,00007;0,00010;0,00012;0,00004;0,00006;0,00007;0,00012;0,00014;0,00009;0,00016;0,00011
HEX2CER;Total of HEX2CER;0,00000;0,00054;0,00055;0,00047;0,00047;0,00000;0,00060;0,00042;0,00033;0,00031;0,00052;0,00055;0,00037;0,00024;0,00000;0,00017;0,00000;0,00017;0,00012;0,00065;0,00000;0,00042;0,00057;0,00034;0,00051;0,00037;0,00026;0,00035;0,00031;0,00000;0,00040;0,00000;0,00030;0,00019;0,00010;0,00000;0,00000;0,00065;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000
HEXCER;Total of HEXCER;0,00000;0,00043;0,00037;0,00034;0,00089;0,00110;0,00139;0,00063;0,00067;0,00050;0,00087;0,00082;0,00065;0,00009;0,00004;0,00006;0,00006;0,00007;0,00005;0,00021;0,00024;0,00045;0,00141;0,00070;0,00111;0,00079;0,00052;0,00072;0,00057;0,00061;0,00073;0,00007;0,00011;0,00011;0,00004;0,00002;0,00001;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000
LPC;Total of LPC;0,00000;0,00022;0,00019;0,00019;0,00016;0,00020;0,00018;0,00014;0,00013;0,00011;0,00012;0,00014;0,00011;0,00023;0,00016;0,00012;0,00011;0,00013;0,00009;0,00008;0,00010;0,00012;0,00019;0,00013;0,00018;0,00012;0,00010;0,00012;0,00010;0,00011;0,00011;0,00015;0,00016;0,00014;0,00008;0,00009;0,00008;0,00009;0,00005;0,00006;0,00007;0,00005;0,00006;0,00005;0,00003;0,00003;0,00008;0,00005;0,00009
LPE;Total of LPE;0,00000;0,00004;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00010;0,00008;0,00000;0,00000;0,00000;0,00011;0,00000;0,00000;0,00000;0,00000;0,00000
PC;Total of PC;0,00002;0,08303;0,08613;0,06902;0,02319;0,02667;0,03326;0,03404;0,02661;0,02523;0,03663;0,04204;0,02704;0,03922;0,03046;0,02557;0,02133;0,02811;0,01759;0,02079;0,02084;0,03638;0,02853;0,01726;0,03022;0,03310;0,02426;0,03469;0,02307;0,02644;0,02975;0,02321;0,03878;0,03303;0,01569;0,01581;0,01638;0,02508;0,03202;0,03287;0,03026;0,01520;0,02402;0,03072;0,01921;0,03029;0,02248;0,02973;0,02817
PE;Total of PE;0,00001;0,00209;0,00283;0,00207;0,00021;0,00015;0,00069;0,00040;0,00073;0,00056;0,00075;0,00107;0,00077;0,00075;0,00045;0,00030;0,00016;0,00039;0,00032;0,00012;0,00018;0,00111;0,00057;0,00018;0,00068;0,00082;0,00058;0,00164;0,00047;0,00026;0,00056;0,00012;0,00015;0,00061;0,00029;0,00013;0,00014;0,00068;0,00532;0,00334;0,00192;0,00087;0,00204;0,00463;0,00156;0,00217;0,00110;0,00177;0,00131
SM;Total of SM;0,00001;0,01384;0,01476;0,01179;0,00542;0,00636;0,00659;0,00724;0,00536;0,00511;0,00841;0,00972;0,00575;0,00648;0,00657;0,00508;0,00586;0,00704;0,00474;0,00547;0,00533;0,00694;0,00622;0,00404;0,00632;0,00679;0,00495;0,00652;0,00521;0,00638;0,00708;0,00474;0,00748;0,00477;0,00400;0,00423;0,00467;0,00546;0,00641;0,00696;0,00450;0,00194;0,00327;0,00481;0,00423;0,00568;0,00299;0,00385;0,00395
