feature	family	class
9-HODE	LA-derived	HODE
10-HODE	LA-derived	HODE
13-HODE	LA-derived	HODE
9,10-DiHOME	LA-derived	DiHOME
12,13-DiHOME	LA-derived	DiHOME
9-oxo-ODE	LA-derived	OxoODE
13-oxo-ODE	LA-derived	OxoODE
9,10,13-TriHOME	LA-derived	TriHOME
9,12,13-TriHOME	LA-derived	TriHOME
PGA1	DGLA-derived	PG
5,6-EET	AA-derived	EET
8,9-EET	AA-derived	EET
11,12-EET	AA-derived	EET
14,15-EET	AA-derived	EET
5-HETE	AA-derived	HETE
8-HETE	AA-derived	HETE
12-HETE	AA-derived	HETE
15-HETE	AA-derived	HETE
5-oxo-ETE	AA-derived	OxoETE
LTB4	AA-derived	LT
LxA4	AA-derived	LX
LXB4	AA-derived	LX
8isoPGA2	AA-derived	IsoP
PGD2	AA-derived	PG
PGE2	AA-derived	PG
PGF2a	AA-derived	PG
11B-PGF2a	AA-derived	PG
PGFM	AA-derived	PG
15dPGJ2	AA-derived	PG
6kPGF1a	AA-derived	PGI2
TXB2	AA-derived	TX
9-HOTrE	ALA-derived	HOTrE
13-HOTrE	ALA-derived	HOTrE
18-HEPE	EPA-derived	HEPE
LTB5	EPA-derived	LT
PGE3	EPA-derived	PG
RvE1	EPA-derived	RvE
5,6-DiHETE	EPA-derived	DiHETE
14-HDHA	DHA-derived	HDHA
17-HDHA	DHA-derived	HDHA
7(S)-MaR1	DHA-derived	MaR
PDx	DHA-derived	PD
PD1	DHA-derived	PD
RVD1	DHA-derived	RvD
RvD2	DHA-derived	RvD
RvD3	DHA-derived	RvD
RvD5	DHA-derived	RvD
