feature	precursor
9-HODE	Linoleic acid C18:2ꙍ6
10-HODE	Linoleic acid C18:2ꙍ6
13-HODE	Linoleic acid C18:2ꙍ6
9,10-DiHOME	Linoleic acid C18:2ꙍ6
12,13-DiHOME	Linoleic acid C18:2ꙍ6
9-oxo-ODE	Linoleic acid C18:2ꙍ6
13-oxo-ODE	Linoleic acid C18:2ꙍ6
9,10,13-TriHOME	Linoleic acid C18:2ꙍ6
9,12,13-TriHOME	Linoleic acid C18:2ꙍ6
PGA1	Dihomo-gamma-linoleic acid C20:3ꙍ6
5,6-EET	Arachidonic acid C20:4ꙍ6
8,9-EET	Arachidonic acid C20:4ꙍ6
11,12-EET	Arachidonic acid C20:4ꙍ6
14,15-EET	Arachidonic acid C20:4ꙍ6
5-HETE	Arachidonic acid C20:4ꙍ6
8-HETE	Arachidonic acid C20:4ꙍ6
12-HETE	Arachidonic acid C20:4ꙍ6
15-HETE	Arachidonic acid C20:4ꙍ6
5-oxo-ETE	Arachidonic acid C20:4ꙍ6
LTB4	Arachidonic acid C20:4ꙍ6
LxA4	Arachidonic acid C20:4ꙍ6
LXB4	Arachidonic acid C20:4ꙍ6
8isoPGA2	Arachidonic acid C20:4ꙍ6
PGD2	Arachidonic acid C20:4ꙍ6
PGE2	Arachidonic acid C20:4ꙍ6
PGF2a	Arachidonic acid C20:4ꙍ6
11B-PGF2a	Arachidonic acid C20:4ꙍ6
PGFM	Arachidonic acid C20:4ꙍ6
15dPGJ2	Arachidonic acid C20:4ꙍ6
6kPGF1a	Arachidonic acid C20:4ꙍ6
TXB2	Arachidonic acid C20:4ꙍ6
9-HOTrE	Alpha-linolenic acid C18:3ꙍ3
13-HOTrE	Alpha-linolenic acid C18:3ꙍ3
18-HEPE	Eicosapentaenoic acid C20:5ꙍ3
LTB5	Eicosapentaenoic acid C20:5ꙍ3
PGE3	Eicosapentaenoic acid C20:5ꙍ3
RvE1	Eicosapentaenoic acid C20:5ꙍ3
5,6-DiHETE	Eicosapentaenoic acid C20:5ꙍ3
14-HDHA	Docosahexaenoic acid C22:6ꙍ3
17-HDHA	Docosahexaenoic acid C22:6ꙍ3
7(S)-MaR1	Docosahexaenoic acid C22:6ꙍ3
PDx	Docosahexaenoic acid C22:6ꙍ3
PD1	Docosahexaenoic acid C22:6ꙍ3
RVD1	Docosahexaenoic acid C22:6ꙍ3
RvD2	Docosahexaenoic acid C22:6ꙍ3
RvD3	Docosahexaenoic acid C22:6ꙍ3
RvD5	Docosahexaenoic acid C22:6ꙍ3
