feature	BS-082D0	BS-364D0	KT-313D0	KT-412D0	KT-445D0	KT-537D0	KT-538D0	KT-539D0	KT-663D0	KT-695D0	KT-723D0	KT-193D0	KT-247D0	KT-312D0	KT-347D0	KT-417D0	KT-522D0	KT-525D0	KT-565D0	KT-705D0
DG 32:0	0.53	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	1.65	0.88	0.89	0.67	0.93	0.0	0.0	1.37	0.88
DG 32:1	0.37	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.45	0.0	0.47	0.0	0.0	0.0	0.0
DG 34:1	2.4	1.5	1.37	0.7	1.1	1.24	2.27	0.85	0.58	1.25	0.8	8.93	3.75	3.31	4.27	4.4	1.45	2.56	5.56	3.62
DG 34:2	0.46	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	2.05	0.7	0.61	0.76	0.95	0.0	0.43	1.16	0.92
DG 34:3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DG 36:1	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.63	0.43	0.23	0.0	0.4	0.0	0.0	0.0	0.36
DG 36:2	1.5	1.17	0.77	0.0	1.01	1.73	2.19	1.36	0.57	1.15	1.06	8.36	4.3	2.15	3.67	4.47	1.79	2.65	5.8	4.95
DG 36:3	0.99	0.38	0.44	0.0	0.0	0.91	0.98	0.0	0.0	0.91	0.39	3.99	1.29	1.61	1.7	2.23	0.0	0.84	2.11	1.87
DG 36:4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.36	0.0	0.0	0.0	0.0	0.0	0.0
CAR 16:0	0.13	0.42	0.0	0.29	0.26	0.12	0.19	0.22	0.13	0.22	0.21	0.1	0.11	0.0	0.0	0.23	0.0	0.13	0.0	0.0
CAR 18:1	0.36	0.51	0.13	0.73	0.41	0.38	0.47	0.53	0.23	0.5	0.54	0.28	0.31	0.0	0.17	0.48	0.32	0.32	0.44	0.26
CAR 18:2	0.13	0.22	0.0	0.41	0.18	0.16	0.14	0.2	0.11	0.27	0.33	0.0	0.0	0.0	0.0	0.15	0.0	0.09	0.0	0.09
CE 16:1	0.0	2.14	0.0	0.0	0.0	0.0	0.0	0.0	2.1	0.0	0.0	0.0	0.83	0.0	0.0	0.66	0.0	0.0	0.0	0.0
CE 18:1	0.45	0.31	0.23	0.0	0.0	0.0	0.42	0.36	0.28	0.22	0.0	0.42	0.4	0.0	0.0	0.87	0.0	0.0	0.0	0.47
CE 18:2	2.43	2.8	3.43	9.18	8.97	1.67	1.04	2.28	3.21	2.78	3.3	2.39	5.31	1.62	0.0	2.68	0.0	0.0	0.0	2.24
"Cer 34:1;O2"	0.0	0.0	0.0	0.0	0.0	0.31	0.63	0.0	0.0	0.28	0.0	0.32	0.64	0.3	0.0	0.34	0.76	0.34	0.0	0.47
"Cer 40:1;O2"	0.41	0.83	0.0	0.35	0.0	0.33	0.66	0.5	0.76	0.49	0.27	0.74	1.04	0.35	0.37	0.67	0.95	0.6	0.0	0.79
"Cer 41:1;O2"	0.25	0.58	0.31	0.0	0.0	0.0	0.35	0.0	0.71	0.0	0.0	0.43	0.58	0.0	0.0	0.44	0.43	0.43	0.0	0.55
"Cer 42:1;O2"	1.07	2.82	1.52	0.0	1.26	0.0	0.0	1.5	0.0	1.19	1.15	0.0	0.0	1.11	0.0	0.0	0.0	0.0	1.77	0.0
"Cer 42:2;O2"	0.37	0.42	0.77	0.68	0.74	0.93	1.68	1.03	0.86	0.33	0.73	0.75	2.16	0.46	1.01	0.58	0.75	1.55	1.5	0.67
"Cer 42:3;O2"	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31
"HexCer 42:1;O2"	0.0	1.8	0.0	0.0	0.0	0.0	0.0	1.02	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HexCer 42:2;O2"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LPC 14:0	0.0	11.89	21.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LPC 15:0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LPC 16:0	609.23	1411.66	1522.39	1477.61	1226.48	874.99	755.16	623.56	834.8	814.04	941.81	576.9	1277.3	1556.26	849.42	860.69	451.49	755.23	1169.99	741.56
