feature	JV-015-RAN-IC-M2	BS-007-RAN-01-M3	BS-007-RAN-02-M3	KT-004-SOC-16-M1	BS-135-RAN-IC-M3	JV-070-DAV-07-M3	BS-129-RAT-10-M5	JV-036-SOC-10-M2	BS-126-RAT-05-M2	JV-017-RAN-10-M3	JV-070-DAV-04-M1	BS-356-RAN-03-M4	JV-090-MIN-IC-M4	BS-391-RAN-06-M2	JV-061-MIN-03-M5	JV-070-MIN-01-M1	KT-004-SOC-14-M1	JV-089-SOC-04-M1	BS-472-RAT-01-M1	BS-172-RAT-10-M3	KT-193D03	KT-247D03	KT-312D03	KT-347D03	KT-417D03	KT-522D03	KT-525D03	KT-565D03	KT-705D03
DG 32:0	1.84	1.88	1.55	0.82	2.16	1.91	1.65	2.05	1.28	1.19	0.51	1.98	3.59	3.79	2.47	2.19	3.19	2.06	6.84	3.55	2.0	1.21	1.13	0.59	0.0	1.42	0.37	0.67	0.51
DG 32:1	1.53	2.09	1.77	1.53	3.01	1.21	1.01	2.21	1.12	0.83	0.0	1.43	2.16	1.91	1.67	1.16	3.03	1.58	4.09	2.11	0.68	0.0	1.47	0.38	0.0	0.0	0.0	0.0	0.0
DG 34:1	8.88	7.3	12.17	6.45	6.21	7.5	8.68	7.58	8.48	6.72	3.37	9.39	12.09	14.84	6.62	5.55	7.27	6.05	16.09	13.86	9.47	4.84	6.73	3.14	2.92	4.75	2.44	2.65	2.31
DG 34:2	4.69	4.55	6.37	3.96	4.58	4.16	2.94	3.43	4.15	2.58	1.54	4.99	5.23	6.32	2.82	1.58	3.47	3.35	5.68	5.51	1.56	1.11	2.49	0.71	0.9	1.06	0.36	0.0	0.34
DG 34:3	0.6	0.53	1.04	0.0	0.89	0.5	0.0	0.57	0.38	0.41	0.0	0.63	0.79	0.6	0.0	0.0	0.39	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DG 36:1	0.76	0.71	1.1	0.73	0.71	0.63	1.04	0.63	0.57	0.42	0.51	0.91	0.87	1.34	0.78	0.33	0.87	0.66	2.14	1.44	0.48	0.72	0.73	0.23	0.0	0.4	0.16	0.0	0.15
DG 36:2	4.26	6.3	8.37	3.69	6.08	5.32	4.74	5.51	6.27	6.94	3.5	5.99	5.34	10.72	2.32	2.27	2.9	3.57	7.16	8.46	5.34	3.52	6.41	3.39	5.45	6.14	2.61	2.99	1.97
DG 36:3	2.98	3.94	4.95	2.74	2.16	4.09	2.32	1.96	2.78	3.88	2.36	2.83	3.47	5.84	1.37	1.43	1.53	2.5	3.24	6.08	3.02	2.94	2.51	1.26	2.07	2.87	1.31	1.21	1.03
DG 36:4	0.64	1.27	1.2	0.0	0.57	0.77	0.0	0.42	0.36	0.48	0.0	0.46	0.95	0.82	0.0	0.0	0.35	0.47	0.55	0.69	0.57	1.05	1.47	0.3	0.0	0.0	0.0	0.0	0.0
CAR 16:0	0.14	0.11	0.22	0.0	0.21	0.3	0.0	0.14	0.0	0.15	0.57	0.0	0.1	0.14	0.0	0.18	0.08	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.29	0.15	0.12	0.0	0.16
