feature	JV-015-RAN-IC-M2	BS-007-RAN-01-M3	BS-007-RAN-02-M3	KT-004-SOC-16-M1	BS-135-RAN-IC-M3	JV-070-DAV-07-M3	BS-129-RAT-10-M5	JV-036-SOC-10-M2	BS-126-RAT-05-M2	JV-017-RAN-10-M3	JV-070-DAV-04-M1	BS-356-RAN-03-M4	JV-090-MIN-IC-M4	BS-391-RAN-06-M2	JV-061-MIN-03-M5	JV-070-MIN-01-M1	KT-004-SOC-14-M1	JV-089-SOC-04-M1	BS-472-RAT-01-M1	BS-172-RAT-10-M3	BS-082D03	BS-364D03	KT-193D03	KT-247D03	KT-312D03	KT-313D03	KT-347D03	KT-412D03	KT-417D03	KT-445D03	KT-522D03	KT-525D03	KT-537D03	KT-538D03	KT-539D03	KT-565D03	KT-663D03	KT-695D03	KT-705D03	KT-723D03
DG 32:0	1.84	1.88	1.55	0.82	2.16	1.91	1.65	2.05	1.28	1.19	0.51	1.98	3.59	3.79	2.47	2.19	3.19	2.06	6.84	3.55	0.0	0.89	2.0	1.21	1.13	0.0	0.59	0.8	0.0	0.58	1.42	0.37	0.0	0.77	0.0	0.67	0.63	0.95	0.51	0.66
DG 32:1	1.53	2.09	1.77	1.53	3.01	1.21	1.01	2.21	1.12	0.83	0.0	1.43	2.16	1.91	1.67	1.16	3.03	1.58	4.09	2.11	0.0	0.0	0.68	0.0	1.47	0.0	0.38	0.66	0.0	0.34	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.98
DG 34:1	8.88	7.3	12.17	6.45	6.21	7.5	8.68	7.58	8.48	6.72	3.37	9.39	12.09	14.84	6.62	5.55	7.27	6.05	16.09	13.86	1.97	4.02	9.47	4.84	6.73	1.65	3.14	5.27	2.92	2.73	4.75	2.44	2.02	5.06	2.11	2.65	2.32	2.47	2.31	5.32
DG 34:2	4.69	4.55	6.37	3.96	4.58	4.16	2.94	3.43	4.15	2.58	1.54	4.99	5.23	6.32	2.82	1.58	3.47	3.35	5.68	5.51	0.0	1.02	1.56	1.11	2.49	0.0	0.71	1.11	0.9	0.41	1.06	0.36	0.0	1.23	0.64	0.0	0.69	0.82	0.34	1.42
DG 34:3	0.6	0.53	1.04	0.0	0.89	0.5	0.0	0.57	0.38	0.41	0.0	0.63	0.79	0.6	0.0	0.0	0.39	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38
DG 36:1	0.76	0.71	1.1	0.73	0.71	0.63	1.04	0.63	0.57	0.42	0.51	0.91	0.87	1.34	0.78	0.33	0.87	0.66	2.14	1.44	0.0	0.45	0.48	0.72	0.73	0.0	0.23	0.26	0.0	0.14	0.4	0.16	0.0	1.11	0.37	0.0	0.32	0.24	0.15	0.34
DG 36:2	4.26	6.3	8.37	3.69	6.08	5.32	4.74	5.51	6.27	6.94	3.5	5.99	5.34	10.72	2.32	2.27	2.9	3.57	7.16	8.46	1.15	6.77	5.34	3.52	6.41	1.92	3.39	4.74	5.45	2.15	6.14	2.61	3.91	7.2	4.49	2.99	3.56	2.79	1.97	6.82
DG 36:3	2.98	3.94	4.95	2.74	2.16	4.09	2.32	1.96	2.78	3.88	2.36	2.83	3.47	5.84	1.37	1.43	1.53	2.5	3.24	6.08	0.0	1.21	3.02	2.94	2.51	0.93	1.26	2.26	2.07	1.22	2.87	1.31	1.82	2.7	1.29	1.21	1.4	1.49	1.03	3.06
DG 36:4	0.64	1.27	1.2	0.0	0.57	0.77	0.0	0.42	0.36	0.48	0.0	0.46	0.95	0.82	0.0	0.0	0.35	0.47	0.55	0.69	0.0	0.0	0.57	1.05	1.47	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0
CAR 16:0	0.14	0.11	0.22	0.0	0.21	0.3	0.0	0.14	0.0	0.15	0.57	0.0	0.1	0.14	0.0	0.18	0.08	0.0	0.0	0.1	0.0	0.14	0.0	0.0	0.0	0.0	0.1	0.18	0.29	0.0	0.15	0.12	0.0	0.1	0.0	0.0	0.0	0.0	0.16	0.15
CAR 18:1	0.26	0.12	0.39	0.0	0.29	0.33	0.1	0.19	0.11	0.25	0.64	0.08	0.22	0.18	0.0	0.23	0.1	0.17	0.0	0.18	0.0	0.43	0.12	0.24	0.0	0.0	0.26	0.45	0.42	0.0	0.35	0.31	0.0	0.31	0.28	0.46	0.0	0.14	0.27	0.43
CAR 18:2	0.13	0.0	0.17	0.0	0.1	0.17	0.0	0.07	0.0	0.08	0.33	0.0	0.1	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.19	0.0	0.0	0.0	0.12	0.0	0.09	0.0	0.17	0.0	0.0	0.0	0.16
CE 16:1	0.8	0.0	0.74	0.0	1.2	0.65	0.56	0.0	0.48	0.55	0.78	0.77	0.0	0.0	1.21	0.52	0.64	1.13	0.0	0.94	0.0	0.0	0.0	1.03	0.0	0.0	0.36	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.37	0.0
CE 18:1	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.62	0.38	0.46	0.55	0.0	0.0	0.77	0.61	0.45	0.58	0.0	0.57	0.0	0.0	0.0	0.85	0.0	0.0	0.09	0.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0
CE 18:2	8.01	1.06	8.29	2.1	6.52	10.63	8.48	0.18	8.17	7.37	9.21	6.57	1.31	0.0	8.3	0.0	5.21	6.92	0.0	7.9	0.9	0.0	1.38	3.22	0.0	0.0	1.93	2.24	1.08	0.94	0.0	0.0	0.0	1.62	0.0	0.0	0.48	3.37	5.73	0.0
"Cer 34:1;O2"	0.0	0.28	0.19	0.0	0.16	0.22	0.17	0.2	0.13	0.18	2.02	0.16	0.0	0.23	0.28	0.3	0.18	0.2	0.24	0.15	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.9	0.35	0.0	0.52	0.47	0.0	0.25
"Cer 40:1;O2"	0.65	0.43	0.4	0.33	0.38	0.47	0.39	0.52	0.33	0.34	0.62	0.34	0.48	0.58	1.39	0.34	0.38	0.42	0.95	0.3	0.0	0.84	0.74	1.38	0.43	0.0	0.42	0.36	0.79	0.3	0.8	0.45	0.0	0.9	0.66	0.44	0.63	0.67	0.69	0.43
"Cer 41:1;O2"	0.72	0.39	0.38	0.34	0.36	0.55	0.35	0.52	0.35	0.26	0.4	0.3	0.33	0.58	1.15	0.31	0.42	0.46	0.82	0.29	0.0	0.49	0.57	0.84	0.34	0.0	0.33	0.0	0.74	0.0	0.46	0.36	0.0	0.51	0.39	0.0	0.49	0.32	0.5	0.3
"Cer 42:1;O2"	2.63	1.78	1.49	1.44	1.35	2.05	1.5	1.8	1.45	1.48	2.27	1.56	1.69	2.0	4.5	1.26	1.82	1.7	3.71	1.37	0.75	2.04	0.0	0.05	1.59	1.31	0.0	1.18	0.0	0.77	2.7	0.0	0.75	0.0	0.0	1.69	0.0	1.62	0.0	0.0
"Cer 42:2;O2"	0.72	1.07	0.86	0.84	0.81	1.09	0.82	0.93	0.66	0.87	1.78	0.79	0.85	0.98	1.72	1.08	0.89	1.03	1.62	0.59	0.6	2.66	1.83	2.93	1.29	1.4	0.91	0.33	1.43	0.72	1.83	0.97	0.92	2.33	1.46	1.6	0.43	1.43	0.54	0.37
"Cer 42:3;O2"	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.11	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0
"HexCer 42:1;O2"	0.0	0.0	0.0	0.0	0.0	1.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.48	1.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HexCer 42:2;O2"	0.0	2.71	0.0	0.0	0.0	1.26	0.0	1.26	0.0	0.0	2.06	0.0	0.0	0.0	0.0	1.27	1.43	1.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0
LPC 14:0	0.89	1.39	1.1	0.78	1.68	0.78	0.27	1.01	0.21	0.29	0.38	0.99	0.92	1.09	2.49	0.64	1.59	1.5	0.83	0.81	0.0	0.0	0.0	0.0	18.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LPC 15:0	2.06	2.02	2.27	2.03	2.29	2.02	1.72	2.2	1.72	1.68	1.9	2.26	2.03	2.15	3.69	1.97	2.19	2.16	1.72	1.79	0.0	0.0	0.0	0.0	13.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LPC 16:0	99.19	126.61	114.69	98.23	127.88	87.95	62.76	102.02	61.45	60.43	124.86	116.93	112.88	150.47	171.0	71.14	121.94	104.43	107.02	98.01	778.64	1203.05	1380.28	1573.95	2726.49	1810.14	1461.52	969.84	1796.37	660.83	946.9	1027.73	716.15	971.38	1450.66	1412.34	117.05	722.01	1416.12	1222.4
LPC 16:1	1.82	2.29	2.45	1.76	2.88	1.04	0.89	2.45	0.99	0.98	1.55	2.11	1.96	2.5	3.12	1.12	2.76	2.47	2.16	1.95	13.54	0.0	17.2	11.13	59.17	17.21	21.54	12.37	15.51	0.0	8.65	16.28	0.0	6.29	0.0	19.57	0.0	7.03	12.55	18.4
LPC 17:0	0.73	0.42	1.47	0.94	0.91	0.95	0.45	0.85	0.33	0.36	1.03	1.13	0.54	0.9	2.34	0.79	1.23	1.07	0.41	0.4	0.0	0.0	0.0	0.0	28.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.14
LPC 18:0	31.26	19.21	46.96	35.51	35.31	30.69	23.7	34.36	22.49	22.23	41.59	40.21	35.28	46.15	36.48	24.52	46.98	34.51	37.8	28.95	235.28	352.31	405.64	593.54	886.51	471.01	494.39	386.77	537.5	265.3	335.2	381.16	247.33	268.34	409.79	503.17	124.85	236.87	437.06	342.75
LPC 18:1	15.85	13.75	22.43	19.82	22.12	13.69	15.87	20.56	15.44	13.26	18.75	20.12	15.9	22.5	24.99	12.89	24.62	19.98	22.7	19.71	139.78	218.79	457.75	355.06	443.71	275.59	302.1	182.21	310.73	171.72	251.93	306.36	172.94	342.76	224.79	314.01	37.52	173.62	286.71	238.54
LPC 18:2	17.57	7.21	19.46	23.7	15.29	13.25	17.26	18.71	21.3	11.34	19.84	20.13	13.86	29.87	30.22	11.53	31.05	16.99	25.11	17.55	104.38	109.66	488.09	176.26	253.71	84.77	165.38	124.07	144.2	94.91	159.64	212.66	167.38	244.06	130.71	204.34	39.06	178.07	217.2	190.47
LPC 18:3	5.47	7.66	7.18	5.29	6.01	4.87	4.04	3.57	6.43	4.13	6.39	4.87	7.23	7.76	5.84	3.91	5.59	6.03	5.75	4.47	39.68	74.87	94.73	52.47	101.55	104.38	100.39	71.82	102.61	45.42	63.64	65.36	39.84	61.91	75.48	105.79	0.0	39.24	67.3	73.56
LPC 20:3	2.75	2.87	3.83	3.12	3.21	1.65	2.03	3.27	2.5	2.38	1.87	2.82	3.15	3.29	4.73	1.76	3.66	2.69	4.57	2.4	11.73	20.06	38.01	25.47	82.4	43.84	24.65	19.61	27.53	21.32	16.13	25.36	15.12	16.62	16.97	14.52	8.37	8.83	13.13	32.92
LPC 20:4	7.45	5.72	8.23	11.33	7.47	4.03	4.49	6.89	4.78	6.07	7.15	6.61	6.16	7.54	8.09	5.17	10.37	10.62	9.57	4.67	59.91	33.76	199.72	65.55	163.33	74.17	88.28	85.11	56.73	49.85	80.61	152.61	59.22	236.97	107.12	80.72	21.04	89.84	76.46	122.2
LPC 20:5	0.76	0.36	0.91	0.99	0.6	0.93	1.16	0.74	2.18	0.7	1.26	0.74	1.05	1.9	0.94	0.5	1.2	1.25	1.08	0.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LPC 22:5	0.43	0.47	0.66	0.77	0.76	0.4	0.36	0.73	0.36	0.76	0.42	0.56	0.47	0.52	0.42	0.24	1.06	0.69	0.69	0.52	0.0	0.0	10.06	0.0	6.41	0.0	0.0	6.5	0.0	0.0	0.0	27.45	0.0	7.16	9.31	0.0	0.0	9.48	0.0	6.66
LPC 22:6	2.07	1.13	2.1	3.21	2.01	1.86	1.15	1.94	1.1	1.45	1.93	1.71	1.39	1.54	0.79	1.04	3.2	1.72	1.66	1.03	0.0	15.11	53.07	24.18	63.47	20.03	25.08	35.76	0.0	13.23	30.13	40.54	27.17	50.08	23.99	36.44	8.6	45.99	27.47	26.5
LPC O-16:0	0.88	1.38	1.04	1.08	1.31	0.88	0.8	0.79	0.82	0.6	2.14	1.14	1.18	1.08	1.26	1.11	2.01	0.82	0.64	0.81	0.0	0.0	0.0	11.23	29.28	0.0	14.2	9.99	17.64	0.0	0.0	10.41	0.0	6.42	10.63	0.0	14.89	0.0	12.49	14.38
LPC 16:0/16:1	1.1	0.93	0.99	0.98	1.09	0.85	0.5	0.84	0.62	0.43	1.01	1.08	0.91	0.82	1.21	0.95	1.69	1.0	0.6	0.65	0.0	0.0	0.0	0.0	25.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LPC 16:1/16:2	1.3	1.68	1.49	1.28	1.74	1.17	0.8	1.46	0.75	0.81	1.64	1.52	1.45	1.94	2.28	0.94	1.63	1.33	1.48	1.39	0.0	20.32	28.24	33.79	43.29	29.95	27.69	21.97	31.41	11.4	16.18	18.11	0.0	21.46	17.89	29.25	0.0	11.3	25.73	18.9
LPC 18:1/18:2	0.35	0.17	0.49	0.36	0.37	0.34	0.18	0.34	0.2	0.18	0.43	0.52	0.27	0.46	0.31	0.25	0.56	0.37	0.36	0.25	0.0	0.0	0.0	0.0	17.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PC 30:0	3.4	9.64	3.74	4.6	6.74	5.54	2.32	5.55	1.98	2.34	4.63	3.54	3.22	4.29	15.36	3.51	13.97	10.49	12.28	3.71	0.0	1.51	0.61	0.55	1.82	1.54	0.9	0.44	0.0	0.45	0.82	0.58	0.0	0.44	0.74	0.0	1.49	0.63	0.85	1.3
PC 32:0	33.09	69.94	34.73	40.42	37.96	42.55	30.69	38.56	33.09	28.83	93.12	31.05	31.78	48.79	59.28	29.82	64.66	51.13	79.1	36.41	5.45	23.25	12.37	13.11	16.02	11.6	10.36	6.35	12.42	5.42	21.89	11.7	5.27	13.69	16.17	10.3	20.77	15.56	11.31	10.62
PC 32:1	21.54	74.34	27.78	19.82	54.03	18.71	14.87	51.65	19.72	16.44	21.75	25.47	31.86	37.01	65.66	15.41	53.41	34.07	81.13	33.73	3.82	24.1	8.13	7.19	16.62	10.7	8.63	4.22	7.15	3.41	10.33	8.22	5.85	6.45	9.31	6.11	9.74	7.23	5.47	8.96
PC 32:2	3.14	5.92	3.62	2.71	4.55	4.16	1.19	3.97	1.99	1.45	1.82	2.77	2.55	3.94	8.2	1.61	4.56	3.97	5.48	3.62	0.0	0.0	0.0	0.0	1.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52
