feature	JV-015-RAN-IC-M2	BS-007-RAN-01-M3	BS-007-RAN-02-M3	KT-004-SOC-16-M1	BS-135-RAN-IC-M3	JV-070-DAV-07-M3	BS-129-RAT-10-M5	JV-036-SOC-10-M2	BS-126-RAT-05-M2	JV-017-RAN-10-M3	JV-070-DAV-04-M1	BS-356-RAN-03-M4	JV-090-MIN-IC-M4	BS-391-RAN-06-M2	JV-061-MIN-03-M5	JV-070-MIN-01-M1	KT-004-SOC-14-M1	JV-089-SOC-04-M1	BS-472-RAT-01-M1	BS-172-RAT-10-M3
DG 30:0	0,36	0,36	0,00	0,00	0,51	0,40	0,00	0,64	0,00	0,00	0,00	0,00	0,58	0,54	0,60	0,34	1,37	0,54	1,89	0,49
DG 32:0	1,84	1,88	1,55	0,82	2,16	1,91	1,65	2,05	1,28	1,19	0,51	1,98	3,59	3,79	2,47	2,19	3,19	2,06	6,84	3,55
DG 32:1	1,53	2,09	1,77	1,53	3,01	1,21	1,01	2,21	1,12	0,83	0,00	1,43	2,16	1,91	1,67	1,16	3,03	1,58	4,09	2,11
DG 34:1	8,88	7,30	12,17	6,45	6,21	7,50	8,68	7,58	8,48	6,72	3,37	9,39	12,09	14,84	6,62	5,55	7,27	6,05	16,09	13,86
DG 34:2	4,69	4,55	6,37	3,96	4,58	4,16	2,94	3,43	4,15	2,58	1,54	4,99	5,23	6,32	2,82	1,58	3,47	3,35	5,68	5,51
DG 34:3	0,60	0,53	1,04	0,00	0,89	0,50	0,00	0,57	0,38	0,41	0,00	0,63	0,79	0,60	0,00	0,00	0,39	0,00	0,46	0,00
DG 36:1	0,76	0,71	1,10	0,73	0,71	0,63	1,04	0,63	0,57	0,42	0,51	0,91	0,87	1,34	0,78	0,33	0,87	0,66	2,14	1,44
DG 36:2	4,26	6,30	8,37	3,69	6,08	5,32	4,74	5,51	6,27	6,94	3,50	5,99	5,34	10,72	2,32	2,27	2,90	3,57	7,16	8,46
DG 36:3	2,98	3,94	4,95	2,74	2,16	4,09	2,32	1,96	2,78	3,88	2,36	2,83	3,47	5,84	1,37	1,43	1,53	2,50	3,24	6,08
DG 36:4	0,64	1,27	1,20	0,00	0,57	0,77	0,00	0,42	0,36	0,48	0,00	0,46	0,95	0,82	0,00	0,00	0,35	0,47	0,55	0,69
CAR 16:0	0,14	0,11	0,22	0,00	0,21	0,30	0,00	0,14	0,00	0,15	0,57	0,00	0,10	0,14	0,00	0,18	0,08	0,00	0,00	0,10
CAR 18:1	0,26	0,12	0,39	0,00	0,29	0,33	0,10	0,19	0,11	0,25	0,64	0,08	0,22	0,18	0,00	0,23	0,10	0,17	0,00	0,18
CAR 18:2	0,13	0,00	0,17	0,00	0,10	0,17	0,00	0,07	0,00	0,08	0,33	0,00	0,10	0,00	0,00	0,12	0,00	0,00	0,00	0,00
CE 16:1	0,80	0,00	0,74	0,00	1,20	0,65	0,56	0,00	0,48	0,55	0,78	0,77	0,00	0,00	1,21	0,52	0,64	1,13	0,00	0,94
CE 18:1	0,00	0,00	0,00	0,00	0,41	0,00	0,00	0,00	0,62	0,38	0,46	0,55	0,00	0,00	0,77	0,61	0,45	0,58	0,00	0,57
CE 18:2	8,01	1,06	8,29	2,10	6,52	10,63	8,48	0,18	8,17	7,37	9,21	6,57	1,31	0,00	8,30	0,00	5,21	6,92	0,00	7,90
Cer 34:1,O2	0,00	0,28	0,19	0,00	0,16	0,22	0,17	0,20	0,13	0,18	2,02	0,16	0,00	0,23	0,28	0,30	0,18	0,20	0,24	0,15
Cer 40:1,O2	0,65	0,43	0,40	0,33	0,38	0,47	0,39	0,52	0,33	0,34	0,62	0,34	0,48	0,58	1,39	0,34	0,38	0,42	0,95	0,30
Cer 41:1,O2	0,72	0,39	0,38	0,34	0,36	0,55	0,35	0,52	0,35	0,26	0,40	0,30	0,33	0,58	1,15	0,31	0,42	0,46	0,82	0,29
Cer 42:1,O2	2,63	1,78	1,49	1,44	1,35	2,05	1,50	1,80	1,45	1,48	2,27	1,56	1,69	2,00	4,50	1,26	1,82	1,70	3,71	1,37
