feature	BS-082D10	BS-351D10	BS-364D10	JV-138D10	KT-193D10	KT-247D10	KT-312D10	KT-313D10	KT-347D10	KT-412D10	KT-417D10	KT-445D10	KT-522D10	KT-525D10	KT-537D10	KT-538D10	KT-539D10	KT-565D10	KT-612D10	KT-663D10	KT-695D10	KT-705D10	KT-716D10	KT-723D10	KT-805D10
DG 32:0	0,86	1,61	0,73	4,41	1,39	1,38	5,25	0,99	0,51	1,12	0,49	1,64	0,00	1,61	0,44	1,51	0,72	2,02	4,39	1,85	0,92	1,15	0,00	1,40	2,45
DG 32:1	0,76	1,22	1,03	2,71	1,05	1,17	2,77	0,97	0,47	0,72	0,00	1,07	0,00	0,90	0,54	1,14	0,65	1,50	1,13	1,89	0,62	1,32	0,00	0,95	2,04
DG 34:1	3,17	5,07	5,72	9,42	4,09	7,51	6,76	2,60	3,39	4,62	2,97	6,47	3,42	5,75	2,24	7,76	4,38	6,29	6,42	7,58	4,74	3,05	1,32	5,43	10,71
DG 34:3	0,00	0,00	0,00	0,55	0,00	0,00	0,49	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,54
DG 36:3	0,66	1,61	1,20	2,57	1,03	1,33	2,72	0,68	1,17	2,86	1,02	2,75	0,87	1,73	1,18	2,22	1,09	1,63	2,07	2,27	1,60	0,99	0,76	2,26	5,01
DG 34:2	0,00	1,18	0,84	1,59	0,96	0,97	1,58	0,48	0,74	0,96	0,42	1,30	0,00	0,88	0,43	1,35	0,00	1,04	1,12	1,76	0,81	0,47	0,00	1,32	1,98
DG 36:1	0,00	0,29	0,00	0,65	0,21	0,35	0,29	0,00	0,22	0,39	0,00	0,31	0,00	0,41	0,18	0,30	0,00	0,26	0,40	0,32	0,18	0,12	0,00	0,30	0,53
DG 36:2	1,85	4,63	3,56	8,15	3,79	3,82	2,39	0,79	2,20	2,95	2,31	5,65	3,16	4,69	1,68	6,28	3,60	3,96	4,30	4,70	3,57	2,67	1,36	4,78	7,97
DG 36:4	0,00	0,00	0,00	0,00	0,00	0,00	1,02	0,00	0,00	0,63	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
CAR 16:0	0,00	0,00	0,31	0,00	0,00	0,00	0,00	0,00	0,00	0,24	0,00	0,11	0,00	0,21	0,00	0,00	0,00	0,00	0,00	0,00	0,16	0,10	0,00	0,00	0,00
CAR 18:1	0,16	0,00	0,40	0,00	0,00	0,13	0,00	0,00	0,00	0,40	0,00	0,20	0,00	0,29	0,00	0,00	0,13	0,00	0,00	0,00	0,27	0,14	0,10	0,00	0,13
CAR 18:2	0,00	0,00	0,17	0,00	0,00	0,00	0,00	0,00	0,00	0,21	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,13	0,00	0,00	0,00	0,00
CAR 2:0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
