feature	BS-082D03	BS-364D03	KT-193D03	KT-247D03	KT-312D03	KT-313D03	KT-347D03	KT-412D03	KT-417D03	KT-445D03	KT-522D03	KT-525D03	KT-537D03	KT-538D03	KT-539D03	KT-565D03	KT-663D03	KT-695D03	KT-705D03	KT-723D03
DG 32:0	0,00	0,89	2,00	1,21	1,13	0,00	0,59	0,80	0,00	0,58	1,42	0,37	0,00	0,77	0,00	0,67	0,63	0,95	0,51	0,66
DG 32:1	0,00	0,00	0,68	0,00	1,47	0,00	0,38	0,66	0,00	0,34	0,00	0,00	0,00	0,38	0,00	0,00	0,00	0,00	0,00	0,98
DG 34:1	1,97	4,02	9,47	4,84	6,73	1,65	3,14	5,27	2,92	2,73	4,75	2,44	2,02	5,06	2,11	2,65	2,32	2,47	2,31	5,32
DG 34:3	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,38
DG 36:3	0,00	1,21	3,02	2,94	2,51	0,93	1,26	2,26	2,07	1,22	2,87	1,31	1,82	2,70	1,29	1,21	1,40	1,49	1,03	3,06
DG 34:2	0,00	1,02	1,56	1,11	2,49	0,00	0,71	1,11	0,90	0,41	1,06	0,36	0,00	1,23	0,64	0,00	0,69	0,82	0,34	1,42
DG 36:1	0,00	0,45	0,48	0,72	0,73	0,00	0,23	0,26	0,00	0,14	0,40	0,16	0,00	1,11	0,37	0,00	0,32	0,24	0,15	0,34
DG 36:2	1,15	6,77	5,34	3,52	6,41	1,92	3,39	4,74	5,45	2,15	6,14	2,61	3,91	7,20	4,49	2,99	3,56	2,79	1,97	6,82
DG 36:4	0,00	0,00	0,57	1,05	1,47	0,00	0,30	0,00	0,00	0,00	0,00	0,00	0,00	0,75	0,00	0,00	0,00	0,00	0,00	0,00
CAR 16:0	0,00	0,14	0,00	0,00	0,00	0,00	0,10	0,18	0,29	0,00	0,15	0,12	0,00	0,10	0,00	0,00	0,00	0,00	0,16	0,15
CAR 18:1	0,00	0,43	0,12	0,24	0,00	0,00	0,26	0,45	0,42	0,00	0,35	0,31	0,00	0,31	0,28	0,46	0,00	0,14	0,27	0,43
CAR 18:2	0,00	0,00	0,00	0,00	0,00	0,00	0,09	0,19	0,00	0,00	0,00	0,12	0,00	0,09	0,00	0,17	0,00	0,00	0,00	0,16
CAR 2:0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
CAR 3:0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
CAR 8:0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
CE 16:1	0,00	0,00	0,00	1,03	0,00	0,00	0,36	0,00	0,00	0,40	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,46	0,37	0,00
CE 18:1	0,00	0,00	0,00	0,85	0,00	0,00	0,09	0,76	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,16	0,00
CE 18:2	0,90	0,00	1,38	3,22	0,00	0,00	1,93	2,24	1,08	0,94	0,00	0,00	0,00	1,62	0,00	0,00	0,48	3,37	5,73	0,00
"Cer 34:1;O2"	0,00	0,00	0,00	0,60	0,00	0,00	0,00	0,00	0,00	0,00	0,47	0,00	0,00	0,90	0,35	0,00	0,52	0,47	0,00	0,25
"Cer 40:1;O2"	0,00	0,84	0,74	1,38	0,43	0,00	0,42	0,36	0,79	0,30	0,80	0,45	0,00	0,90	0,66	0,44	0,63	0,67	0,69	0,43
"Cer 41:1;O2"	0,00	0,49	0,57	0,84	0,34	0,00	0,33	0,00	0,74	0,00	0,46	0,36	0,00	0,51	0,39	0,00	0,49	0,32	0,50	0,30
"Cer 42:1;O2"	0,75	2,04	0,00	0,05	1,59	1,31	0,00	1,18	0,00	0,77	2,70	0,00	0,75	0,00	0,00	1,69	0,00	1,62	0,00	0,00
"Cer 42:2;O2"	0,60	2,66	1,83	2,93	1,29	1,40	0,91	0,33	1,43	0,72	1,83	0,97	0,92	2,33	1,46	1,60	0,43	1,43	0,54	0,37
"Cer 42:3;O2"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,30	0,00	0,00	0,00	0,00	0,00	0,00
"HexCer 42:1;O2"	0,00	0,00	0,00	1,04	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"HexCer 42:2;O2"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,74	0,00	0,00	0,00	0,00	0,00	0,00
LPC 13:0	0,00	0,00	18,87	0,00	11,14	0,00	10,43	9,26	0,00	7,48	0,00	0,00	0,00	10,74	0,00	0,00	0,00	0,00	0,00	9,38
LPC 14:0	0,00	0,00	0,00	0,00	18,75	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
LPC 15:0	0,00	0,00	0,00	0,00	13,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
LPC 16:0	778,64	1203,05	1380,28	1573,95	2726,49	1810,14	1461,52	969,84	1796,37	660,83	946,90	1027,73	716,15	971,38	1450,66	1412,34	117,05	722,01	1416,12	1222,40
LPC 16:1	13,54	0,00	17,20	11,13	59,17	17,21	21,54	12,37	15,51	0,00	8,65	16,28	0,00	6,29	0,00	19,57	0,00	7,03	12,55	18,40
LPC 17:0	0,00	0,00	0,00	0,00	28,12	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	10,14
LPC 18:0	235,28	352,31	405,64	593,54	886,51	471,01	494,39	386,77	537,50	265,30	335,20	381,16	247,33	268,34	409,79	503,17	124,85	236,87	437,06	342,75
LPC 18:1	139,78	218,79	457,75	355,06	443,71	275,59	302,10	182,21	310,73	171,72	251,93	306,36	172,94	342,76	224,79	314,01	37,52	173,62	286,71	238,54
LPC 18:2	104,38	109,66	488,09	176,26	253,71	84,77	165,38	124,07	144,20	94,91	159,64	212,66	167,38	244,06	130,71	204,34	39,06	178,07	217,20	190,47
LPC 18:3	39,68	74,87	94,73	52,47	101,55	104,38	100,39	71,82	102,61	45,42	63,64	65,36	39,84	61,91	75,48	105,79	0,00	39,24	67,30	73,56
LPC 20:3	11,73	20,06	38,01	25,47	82,40	43,84	24,65	19,61	27,53	21,32	16,13	25,36	15,12	16,62	16,97	14,52	8,37	8,83	13,13	32,92
LPC 20:4	59,91	33,76	199,72	65,55	163,33	74,17	88,28	85,11	56,73	49,85	80,61	152,61	59,22	236,97	107,12	80,72	21,04	89,84	76,46	122,20
LPC 20:5	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
LPC 22:5	0,00	0,00	10,06	0,00	6,41	0,00	0,00	6,50	0,00	0,00	0,00	27,45	0,00	7,16	9,31	0,00	0,00	9,48	0,00	6,66
LPC 22:6	0,00	15,11	53,07	24,18	63,47	20,03	25,08	35,76	0,00	13,23	30,13	40,54	27,17	50,08	23,99	36,44	8,60	45,99	27,47	26,50
LPC O-16:0	0,00	0,00	0,00	11,23	29,28	0,00	14,20	9,99	17,64	0,00	0,00	10,41	0,00	6,42	10,63	0,00	14,89	0,00	12,49	14,38
LPC 16:0/16:1	0,00	0,00	0,00	0,00	25,37	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
LPC 16:1/16:2	0,00	20,32	28,24	33,79	43,29	29,95	27,69	21,97	31,41	11,40	16,18	18,11	0,00	21,46	17,89	29,25	0,00	11,30	25,73	18,90
LPC 18.0/18:1	0,00	0,00	0,00	9,40	30,73	0,00	11,01	7,30	0,00	0,00	0,00	7,03	0,00	8,11	0,00	0,00	8,57	0,00	11,42	10,39
LPC 18:1/18:2	0,00	0,00	0,00	0,00	17,12	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
PC 30:0	0,00	1,51	0,61	0,55	1,82	1,54	0,90	0,44	0,00	0,45	0,82	0,58	0,00	0,44	0,74	0,00	1,49	0,63	0,85	1,30
PC 32:0	5,45	23,25	12,37	13,11	16,02	11,60	10,36	6,35	12,42	5,42	21,89	11,70	5,27	13,69	16,17	10,30	20,77	15,56	11,31	10,62
PC 32:1	3,82	24,10	8,13	7,19	16,62	10,70	8,63	4,22	7,15	3,41	10,33	8,22	5,85	6,45	9,31	6,11	9,74	7,23	5,47	8,96
PC 32:2	0,00	0,00	0,00	0,00	1,15	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,52
PC 34:0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
PC 34:1	70,41	482,86	247,43	238,98	277,38	169,68	201,54	135,97	203,28	97,35	281,66	184,05	120,10	258,99	284,30	179,56	254,96	205,59	204,55	209,44
PC 34:2	100,83	482,91	357,12	338,00	212,82	155,62	167,47	115,88	282,32	97,17	370,11	196,44	149,63	269,10	231,56	278,40	216,89	282,92	263,13	214,74
PC 34:3	1,48	3,94	4,01	3,36	5,20	3,58	2,03	1,90	2,74	1,55	2,63	2,26	1,68	2,41	2,29	2,30	3,99	2,69	2,84	3,40
PC 34:4	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
PC 36:0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,14	0,11	0,24	0,00	0,00	0,20	0,00	0,00	0,50	0,00	1,03	0,00	0,00
PC 36:1	12,34	54,76	19,88	27,91	45,68	21,13	32,07	14,49	9,96	10,45	37,25	19,30	11,97	21,55	29,71	14,86	39,30	8,32	24,53	22,76
PC 36:2	56,61	172,80	138,08	161,46	151,27	69,16	110,83	81,96	123,25	79,15	159,09	99,67	84,75	108,53	121,06	139,26	123,20	116,56	140,69	118,84
PC 36:3	33,52	85,87	51,31	65,82	106,65	58,18	38,31	45,58	61,50	44,47	53,15	41,08	31,22	38,60	42,13	41,87	58,40	31,98	56,18	61,54
PC 36:4	65,86	94,08	115,96	80,25	152,43	75,93	61,01	73,38	73,12	51,32	118,40	117,05	57,29	139,81	113,14	76,16	100,15	99,71	84,86	104,67
PC 36:5	2,49	6,63	6,16	3,91	6,80	5,16	3,51	4,27	2,32	2,99	5,73	3,33	2,87	4,92	4,14	6,25	4,51	3,57	4,74	4,30
PC 38:2	0,45	0,47	0,62	0,83	2,68	0,96	0,56	1,05	0,25	0,59	1,03	0,60	0,45	0,55	1,08	0,71	0,97	0,53	1,10	0,61
PC 38:3	12,64	24,66	8,99	16,17	38,68	26,53	16,56	13,67	18,28	14,54	7,96	14,27	8,11	5,65	8,35	11,89	26,34	7,04	12,36	17,08
PC 38:4	40,37	56,38	48,48	46,98	92,35	61,69	50,42	41,06	52,45	35,67	52,97	87,09	34,55	63,08	55,56	54,23	70,72	58,35	48,93	62,19
PC 38:5	16,77	36,78	29,42	25,48	42,74	31,93	21,78	30,17	32,04	16,50	30,60	41,02	12,45	26,92	28,16	23,42	40,74	32,65	27,11	34,68
PC 38:6	25,87	48,67	42,43	46,04	66,54	32,54	31,88	52,63	28,53	20,14	39,13	28,64	27,53	45,05	36,18	54,52	44,88	49,27	33,65	44,09
PC 38:7	1,92	1,74	2,05	0,65	1,53	2,49	1,53	2,01	1,60	1,58	2,24	1,46	1,66	1,86	2,34	2,46	1,51	1,49	1,33	1,65
PC 40:4	0,87	1,68	0,64	0,85	2,06	2,95	1,38	1,21	1,85	0,70	0,74	3,23	0,34	0,39	1,51	0,90	3,00	1,29	1,09	1,75
PC 40:5	4,03	8,88	4,33	6,60	11,52	8,60	7,67	8,29	7,33	4,05	6,30	13,31	2,28	4,80	7,19	5,88	14,01	9,74	6,07	8,39
PC 40:6	10,97	17,59	14,44	17,34	40,32	13,08	19,63	20,40	9,15	9,61	17,54	18,29	10,85	15,54	15,15	25,58	26,67	21,41	16,05	18,80
PC 40:7	1,71	1,63	1,34	1,31	3,16	1,72	1,72	1,76	1,30	1,07	1,51	1,20	1,23	1,15	1,28	1,86	1,62	1,19	1,48	1,47
PC 40:8	0,00	1,14	1,02	0,48	0,64	1,17	0,86	1,22	1,03	0,63	1,00	0,99	0,00	0,74	0,99	0,83	1,20	0,78	0,00	0,96
PC O-32:0	0,00	3,42	1,25	1,46	1,43	0,82	1,62	0,99	1,46	0,69	1,47	1,46	0,77	1,95	1,95	1,16	4,34	2,10	1,37	1,73
"PC 32:1;O/32:0;P"	0,00	1,92	0,80	1,22	1,29	0,86	1,12	0,44	1,13	0,37	1,20	1,15	0,00	1,04	1,49	1,12	2,42	1,59	1,12	0,99
"PC 34:0;O"	0,00	0,84	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,60	0,00	0,00	0,98	0,00	0,00	0,45
"PC 34:0;P/34:1;O"	1,29	4,99	2,25	3,08	3,45	1,58	2,67	1,66	2,45	1,27	3,78	2,17	1,69	4,13	3,32	2,43	5,59	3,52	3,42	2,63
"PC 34:1;P/34:2;O"	0,89	2,99	2,10	2,43	2,96	1,60	0,86	1,23	2,40	1,14	2,40	1,30	0,99	1,89	3,10	2,37	4,48	2,70	3,30	2,75
"PC 36:1;P/36:2;O"	0,00	1,31	0,82	0,95	1,24	0,00	0,71	0,53	1,03	0,51	1,02	0,68	0,00	0,92	1,23	0,83	1,92	1,09	1,26	1,11
