Family	log2FC_D00-BS-064	log2FC_D03-BS-064	log2FC_D10-BS-064	log2FC_D00-BS-082	log2FC_D03-BS-082	log2FC_D10-BS-082	log2FC_D00-BS-336	log2FC_D03-BS-336	log2FC_D10-BS-336	log2FC_D00-BS-346	log2FC_D03-BS-346	log2FC_D10-BS-346	log2FC_D00-BS-351	log2FC_D03-BS-351	log2FC_D10-BS-351	log2FC_D00-BS-364	log2FC_D03-BS-364	log2FC_D10-BS-364	log2FC_D00-BS-377	log2FC_D03-BS-377	log2FC_D10-BS-377	log2FC_D00-BS-671	log2FC_D03-BS-671	log2FC_D10-BS-671	log2FC_D00-JV-035	log2FC_D03-JV-035	log2FC_D10-JV-035	log2FC_D00-JV-138	log2FC_D03-JV-138	log2FC_D10-JV-138	log2FC_D00-JV-148	log2FC_D03-JV-148	log2FC_D10-JV-148	log2FC_D00-JV-157	log2FC_D03-JV-157	log2FC_D10-JV-157	log2FC_D00-KT-193	log2FC_D03-KT-193	log2FC_D10-KT-193	log2FC_D00-KT-247	log2FC_D03-KT-247	log2FC_D10-KT-247	log2FC_D00-KT-312	log2FC_D03-KT-312	log2FC_D10-KT-312	log2FC_D00-KT-313	log2FC_D03-KT-313	log2FC_D10-KT-313	log2FC_D00-KT-347	log2FC_D03-KT-347	log2FC_D10-KT-347	log2FC_D00-KT-352	log2FC_D03-KT-352	log2FC_D10-KT-352	log2FC_D00-KT-412	log2FC_D03-KT-412	log2FC_D10-KT-412	log2FC_D00-KT-417	log2FC_D03-KT-417	log2FC_D10-KT-417	log2FC_D00-KT-434	log2FC_D03-KT-434	log2FC_D10-KT-434	log2FC_D00-KT-445	log2FC_D03-KT-445	log2FC_D10-KT-445	log2FC_D00-KT-515	log2FC_D03-KT-515	log2FC_D10-KT-515	log2FC_D00-KT-522	log2FC_D03-KT-522	log2FC_D10-KT-522	log2FC_D00-KT-525	log2FC_D03-KT-525	log2FC_D10-KT-525	log2FC_D00-KT-537	log2FC_D03-KT-537	log2FC_D10-KT-537	log2FC_D00-KT-538	log2FC_D03-KT-538	log2FC_D10-KT-538	log2FC_D00-KT-539	log2FC_D03-KT-539	log2FC_D10-KT-539	log2FC_D00-KT-612	log2FC_D03-KT-612	log2FC_D10-KT-612	log2FC_D00-KT-663	log2FC_D03-KT-663	log2FC_D10-KT-663	log2FC_D00-KT-695	log2FC_D03-KT-695	log2FC_D10-KT-695	log2FC_D00-KT-705	log2FC_D03-KT-705	log2FC_D10-KT-705	log2FC_D00-KT-716	log2FC_D03-KT-716	log2FC_D10-KT-716	log2FC_D00-KT-718	log2FC_D03-KT-718	log2FC_D10-KT-718	log2FC_D00-KT-723	log2FC_D03-KT-723	log2FC_D10-KT-723	log2FC_D00-KT-771	log2FC_D03-KT-771	log2FC_D10-KT-771	log2FC_D00-KT-805	log2FC_D03-KT-805	log2FC_D10-KT-805	log2FC_D00-KT-880	log2FC_D03-KT-880	log2FC_D10-KT-880	log2FC_D00-KT-926	log2FC_D03-KT-926	log2FC_D10-KT-926	log2FC_D00-KT-974	log2FC_D03-KT-974	log2FC_D10-KT-974
DG	-0.4221192235003327	0.6443608978399848	0.42435250260464386	-0.07095162803153392	-1.3613311661818441	0.15739391544177705	-1.5319512047999466	0.24779529708996123	0.30051397331989665	-3.493467806616883	0.6321456246817568	1.2947517463779137	0.08495628379781153	0.9695186812626725	1.3731267334323396	-1.0195638425279017	1.1725088929553225	1.1254796129664864	-0.9704362744718289	-0.23667823135929844	-0.3847683174327007	-1.3042116312498873	1.388424413720012	-0.1207729733368489	2.5426994038362527	1.037753431218249	1.6130184522541817	-0.3903225793087855	0.016416842022890704	1.5552939935349681	0.40152216873045743	2.0740187346586967	1.644162210063956	0.38449913184262674	1.4300209912011508	1.1915764891929905	1.561570687036764	1.2399134026079741	0.34527651747262783	-0.28987289920794157	0.10103401139898699	0.12765049543048285	0.9112725582069015	2.3343637764587575	2.3264015375759093	-1.5902355714395704	-0.8714890749749946	-0.37025386733006177	0.8574938152948098	0.6561376104026427	0.5205243055087203	0.8023560281127482	0.17817925786118857	1.8769863856251963	-5.747291255122017	-0.9036224889120236	-1.137049573436174	1.9350895884268018	1.7189808398600086	0.9129692232156894	-1.3785880241353596	-1.9179722059058095	0.2944742816366014	-2.4332634084419813	-0.26616495224831893	1.0959015518894308	-1.458437947040908	2.0905933520137525	1.9847806255168428	0.08118837548586086	2.5287689735829217	1.1844700424839611	1.3944176048401686	1.5684338907681408	2.581388357363712	0.5122398885728509	1.5714337697232776	1.2259832222724272	-0.6991283677857109	0.8711686880594901	0.9592165177400052	-0.9619301276355668	1.4330179991482064	1.649030908725039	-2.1909472397200176	1.0215545988050414	0.6138832481278632	-2.6609560575992965	0.3770294413667107	1.535952173091957	-0.3070950141149235	1.1509550010202863	1.546650387719339	-0.1426981273969576	-1.2229746435253934	-0.6365566955925968	0.22406169446698349	0.4580234135524412	-1.6653432060664997	0.6924002827741179	0.7946855932456798	1.5631318863545842	-1.8629529444520128	1.3374909991208659	1.1085644540355002	-1.2567914172116847	-0.7072911267629076	-0.3446726188452463	0.6364121058181116	0.32683590538884505	1.405524267559222	-0.8211265936958543	-1.1704143310399155	0.5481054324022636	2.0453619395853573	0.796237147687693	0.8184361907703342	-1.4103604614963596	0.5608561343216854	0.0034342893141425554
CAR	-0.7378244554648428	-29.007818160079594	-28.53349257725569	-0.5560028568155733	-29.336889823861043	-2.524822547756122	0.4579879730255637	0.07491374337850698	-2.2806520390940523	0.3672571978562007	0.1258130142630109	-0.14548873301595508	-0.2398698462216052	-2.53366635715763	-30.3721309843492	0.14008625190855203	-0.872068594883735	-0.24890989597198357	30.713194422459736	28.671869615969946	27.886412535661723	1.1893551904306594	-28.263337825440452	-1.440226460643737	29.2068794156973	31.69393973443677	0.47257928352063866	-0.14990875482219645	-1.1674474978360698	-0.5675299593683788	-1.846783314929346	-1.9310141228248723	-2.1339459895964628	-1.9211440673953872	-0.1510659201773782	-29.83382513672715	1.0479076848012177	-0.9434041331819286	-28.19703323408667	29.67842988819735	28.861502787669416	28.806722491687854	-0.12385969090247952	-0.18168406369999832	0.7769054452789892	27.40584962774457	0.2645367337300963	-0.020440224984374276	27.51648829511786	28.924258808655424	-0.3468922365105022	30.263828375643715	27.86915809087795	28.341550557266416	1.337140868748001	0.5481061443618126	0.586227701299471	30.83969522217994	30.14946693377537	0.020593626580845154	29.286125024495224	28.52651853253265	-1.0363012033017023	1.9203659227401153	-28.69717912149656	0.4365653726413439	2.9027084535908783	1.6865324748475987	-27.66053684954687	31.056445451576604	29.618119873989954	0.5901156963448054	-0.13176236293665708	-0.1027223557809016	-0.2598316205248621	29.78535308618877	0.15103775714881906	-0.5934757943699822	30.429933281659213	29.726878068889047	0.5245782963885058	2.5723715862868106	0.8049515293141846	-0.3362588049003032	2.3567346315535254	0.13532192399835444	-27.612519178551683	29.54224406008592	-0.16947082387177737	0.2848002484488503	30.009036542551325	26.965880742183295	29.022450261704957	-0.5580472228849015	-0.2272518913398641	-1.06874943999376	1.2076867105301932	-0.6186954425376907	-2.8353384171434604	-1.6124447052226634	0.5239473287681591	-2.27465432615388	0.4145508567004543	-0.13587564721510015	-29.999185103074378	-0.748516930757655	-0.5879963322238158	-1.5683352177871863	2.108703405007343	-1.0255756090970471	-1.8494955994859228	-27.305830274094863	-27.493872586437494	1.2545459877556402	1.7363871285932746	-27.61036968645289	-27.465305447743564	30.863099388837714	30.53351056755991	0.45909442217885216
CE	2.203709544727422	0.7577735423199227	-29.97907327205604	-0.883650383910036	-2.5567274501776924	-0.6035267473313587	-0.09141040636605446	1.2096983990642762	1.3916253179070914	0.8256700874471666	2.3852299104754846	-30.02488435183628	2.3712110251304788	2.795553332233411	-0.13605940409932618	1.0458485473140955	-30.300230189092503	0.2734641264428535	3.1047892695802024	-29.355793273377973	-0.874963595565858	0.13893393238864518	1.2666153231476436	0.10034826995410448	-3.025191214835925	-1.131487849369124	-31.675841672652314	1.6736458741631428	-31.360366631077508	-1.8715319999709417	-30.656038024655533	-1.1608586778424994	0.7101971702852402	0.27479165500595937	-3.155679888085306	-31.0885864222035	1.821300206787283	0.8014640416500918	1.1952499963628231	0.597457637788595	0.23892694170987291	-1.6957317458106786	-1.5104766067040634	-31.311024869167706	0.8366524301829147	1.4424619738774969	-29.20764717009822	-30.046175509497107	-0.3108970577630694	30.119239820833275	31.265340982870438	-1.4809490104969452	-31.087664523313055	-31.066449537385726	0.43673042459931294	-1.1751977830239917	-2.223868532596418	2.254940682169759	0.2892640880232698	1.2410248995320268	-0.880117925614933	29.78914084243333	29.83968465018581	1.4270250452989848	-1.3240765845458633	-31.572404112508924	2.530864477025784	-28.939953875623466	1.431967067359592	0.359594494559911	-0.03465363205493165	0.4602948979273417	-30.50914840507175	-30.830065416940915	-0.8184892519430621	-1.768133094501794	-31.059504557703267	-32.55573267650062	-0.25743815658615465	-0.10999509925635667	0.5890891339766616	1.572223136022872	-28.936064990796137	1.713461784965849	1.42920160429642	-30.42977463367784	0.6306410714515259	1.6929787096364755	-1.859150898257265	-29.769568158452877	-0.9202605845289551	-0.5688130797705363	-3.5256014838756524	-0.15392727867143519	1.0556752000623522	-1.45186209781572	-2.2854192316231483	-32.47638710993967	-0.8509522729070254	0.2393410388534318	1.021071514333942	0.47207955058278694	-1.9530876060958458	-33.41140633093559	-1.5936554035559085	-0.5339105107181525	28.42024928569957	31.327238571839484	2.2932134163207025	-29.528362228247428	0.45444208620269794	-0.3108794190715072	27.739847410020456	0.05215387914552844	-32.181675683263435	-0.5135235632834637	-31.954395832346503	1.8448860020001157	2.6215029273124713	-29.58043286315923
Cer	1.2386046317024206	0.8939555733950576	0.3162153783852671	-0.20634466941725968	-0.8366753047993482	-0.6956268538328882	0.6586802683672264	1.0572768963388703	1.6150196957488754	1.611260689901833	2.714488379745545	0.8728253096658338	31.232860278543995	30.703711518701045	30.532203732032624	1.4401337972386985	1.8156528472670133	0.20858041091410995	2.2618331410954053	0.42558032821242886	1.8601356234788735	1.08455817007167	1.5233181546177854	-0.020256106488753985	1.565922576186252	0.21181612274190573	0.5603967103667798	1.623955331232701	0.9081281373454392	1.2062344189507683	0.27746570595181164	-0.13568788836515397	0.42662617178531514	-0.06039726643707632	-0.7609778498029077	0.11763512597845485	0.5070638109995992	0.8178656828236169	0.5433836877040984	0.8004697383197371	1.1945283626781131	0.02281196183480905	1.0327589578121166	1.7486942834576924	2.0732091263583774	0.6898920952766215	0.747804588835863	-0.07649721058993503	-0.6002833284557746	-0.33948806810843957	1.0908009334289066	1.3954869349904562	0.43537095367951056	1.2387683786780588	-1.2754882678540744	-0.4254993636853957	-0.43847461837051765	30.155991710979826	30.700278829294966	30.107183331460003	-0.10057554294990817	-0.23768637068317477	0.5872126884154567	0.004336498828159294	-0.14947804989366323	0.13172771272516753	0.3287054686210253	1.025843544726137	-0.20038951791901713	2.3667643172792148	3.4797174813068272	0.84878280853974	2.00564164938957	1.2837780519456357	2.00288279610762	0.7118927366361973	0.7979033630031644	0.41627046550438945	1.7630293377451942	2.2368033767582043	1.1158191703621114	1.1841191576475052	1.10015196866814	0.6823488568976125	0.16063160332695187	0.026878932288278604	1.1448475337901267	1.8485979816528142	1.676406952312892	2.8538798166345205	0.03839896420465231	1.0132854570276806	0.039257663909539116	-0.698715658165472	-1.3806838848655503	-1.0307022394822367	0.6103329130704763	0.7971170347471236	0.41172627287431335	0.09350816802539849	0.2346486887603302	0.43634544880092685	-0.21083534295647902	-0.8629178382514209	0.6921273968941012	1.061575475885075	0.6515833748135083	-0.14721488804533872	0.05161859975031745	0.6271161490345087	0.07142412956032762	1.179902411928127	0.6131991747126957	1.2327001271402565	-0.34631384288389416	1.5604274029284733	0.5791555755495776	0.3956128696981117	0.990606569598909	0.9641768156948388
Chol	-0.22168270950936883	-0.6101041631979968	-0.8623135274353392	-0.21178600247656196	-1.2060273091967284	-1.2023316908718558	-1.1355066929358573	-0.8990315281676553	-1.106104725040929	-0.593531857995445	-0.8933522773196937	-1.4541369732647915	0.52670878325349	0.6874269267948201	0.5651493271280745	0.4938871007335568	-0.530548509563232	-0.905413872541553	0.6978442254771307	-34.000140607846674	0.3164336958620363	-0.5849498504662766	0.62911806501743	0.2670361784212605	-0.003763868150014045	-34.599337907389874	-34.70907549502498	1.7929997462094858	0.009330022781833763	-0.37676262837055124	0.15640042420518416	-0.3439858865300045	0.10607081236838956	1.1924680547566207	0.9575912148552468	0.6009349586088614	-0.6155006398861832	0.4677230387512526	0.1068186321852495	-0.37098796806762474	-0.34659674742637064	-0.462225414004033	-0.3479183955415968	0.5531629665771143	1.307690134275959	0.1781925218403046	-0.19740824493543366	-0.34390760641214846	0.31909118311556695	0.22439602564273317	1.3866300080225442	0.25351570280444813	-0.7230990955450246	0.183355261395972	-35.22541560269204	-0.6543341324079411	0.38111239456415535	0.25822273603767315	-0.3736967008885018	0.2478515910124309	0.6092387301910764	0.8336562407121785	0.9446703884791665	-0.4026126178313429	-1.0424182278710934	-0.08082877753095383	0.17148875056970317	0.14469100802557236	1.0606425925874547	1.7596299942339328	1.6248663940344095	2.267496073449153	0.5198383820962345	1.3598006229494068	1.7436142120533518	0.9751287004955073	-0.4138771144681694	1.4169514347130827	0.031481393148661836	0.527037180796428	0.021843913034327152	0.39327281265227637	0.24053869754726953	0.8825621641801771	1.256338067393816	0.42006402073447563	0.6774246287929111	1.3132516861734864	0.7194779229425979	1.3295837307601417	-0.6304180141840532	0.5062829060068342	-0.014619162551375506	0.5375673636348789	0.7711116111962655	0.34678550801228464	1.0476007068956072	1.3227485545603979	1.3074406510273293	0.21927737631565986	0.3636894393628511	0.8190497039988913	-0.5037958360539728	-0.6655763132935317	0.13129962370666168	0.9410267552598676	0.6689155952937548	1.3447736956309642	0.004759268546097433	-0.3339366723498203	-0.36924079802767773	-0.183247025161631	-1.4361459432724697	0.13923474383077566	-0.5751810914262777	1.0264932306331056	-0.24568798750904353	33.18051103749568	34.257309241644705	34.34231458615274
HexCer	31.141987688278313	29.175891141426252	0.4144667000465158	-30.79583032540669	-29.623705087086968	-30.43840198448574	0.2599097056925564	28.98791541444927	29.235671496713586	-28.552595260211778	-28.540468304182852	-28.860934290351185	30.691043717844178	30.02166558025188	-0.1786784869826052	30.278122518615287	0.9575416048563941	29.863965760079466	29.07178516891364	0.5270792963792527	0.2914992902201895	-29.21351066343342	1.088971971237737	-29.312473156587092	0.4699721046457717	0.8328900141647416	1.1057258872942979	30.44103120855349	28.601161199688203	29.250737970961467	-28.943240982454416	-29.052626273221712	-29.33838493310885	-0.20633319770547143	-0.5113334765720176	0.0496807804505503	0.09205287190860614	0.12949978428680464	0.09469565528343321	0.10481573530088172	29.460938532444274	0.4537356917313057	-28.74646392973901	-28.595044397148772	1.2593962961578014	-0.7014940201138788	0.40946234902449674	-0.264430214505036	-0.3510609099320495	-1.1381952610833443	-0.8220187819503745	-0.5829341066564183	-0.7504325605489841	-0.7625806959808702	-29.61460365539141	-29.99803298203797	-29.919026641188342	0.11256660101731399	0.8293737577545317	29.615906795261925	-1.0174745892507784	-0.9183524084644495	-1.4127715205531883	-27.907683699147135	-28.72290073897771	-28.67321844551011	-0.24394988889043456	-0.15931286578430442	-0.43283787111151817	0.49951109732042304	0.01924010586817498	0.8395658103921084	-0.4028832989942146	-0.7366889242946344	28.91298507171913	0.5613779553036923	0.9023734705174455	-0.050045464948444626	-0.6078502291383738	28.55947235854932	0.211080601064065	28.438802029885014	-0.595669006562559	-0.20268474991896185	28.52947598540168	0.6951006344444796	29.929688836585886	28.717262193539593	-0.23092569160052479	0.4616597195294144	-1.1319011992162573	-1.4473150959457812	-1.2006483014996092	-30.877395823651675	-30.579152256588205	-30.66454912656381	-29.116429402749617	0.25342021303191103	-29.371224138537126	-0.2361418314444066	-0.5715235400649706	28.287657538353045	-0.24843455517443944	0.07968240010098673	29.201038552835552	30.15659918802953	28.967404011807517	28.52918518756093	-29.20968840475806	-28.642023316680984	-29.196029004851695	0.19725098678845118	-0.3753567125037256	-0.046078009697783855	-29.93624449272328	0.8739919721235587	-29.045061232490255	-0.01582496716168297	30.444763555334582	0.5107208473341514
LPC	-1.3814670387958732	-0.44451988274951204	0.3362873417807732	-1.9739118416143338	-1.7430736659666324	-0.9581596449546744	-0.9043681954323097	-0.6732512873576716	-0.050098160731386746	-1.1608989295482917	-1.592963635450074	-0.2675104206377734	-1.6635211621471084	-0.7289746633231041	-0.3956469799002727	-0.2590012610656178	-0.7428881500030146	0.668581313560072	-0.024718015319778686	0.3986195076531283	0.6213214438454228	-0.600386940595662	-0.00323135889472139	0.6110824261959892	-0.6090474931500824	-0.2278121062714535	-0.4281602328377818	0.24657950694850753	-0.7833792275424631	0.6350601581241143	-0.29340277733945347	0.5783265086273456	0.7710821113918332	-0.8268058583268357	-0.11693788296626216	0.68375352019136	-2.0310509963158028	-0.7713388867248442	0.2527121257767075	-0.5976422106975999	-0.46032099358598544	0.26726401420389134	-0.31575001989858137	0.38156336436737714	0.2871384404552654	-0.0292228033776723	0.04973922741876054	-0.6029755916252327	-1.1354632430399894	-0.3947960069117613	0.5221863169513511	-0.460407715319784	-0.8653793781283269	0.93750694666042	-1.0532015381360667	-1.6367799257415745	-0.25938724558987375	-1.0060357868072232	-0.1588341625381145	0.39114815816421045	-1.4629065901899465	-1.09004083371882	-0.6089911613505293	-1.0441041507526958	-1.7624368561381263	0.11786125678384748	-0.6982377292639237	-0.19996058905813005	0.20644153737185317	0.3051405690715464	0.7464563201596545	1.7268716564731752	-0.7772824025491777	-0.08377924226071495	1.4445633077997166	-0.897822025080449	-1.185257226924359	0.4324255200389746	-0.808037947875561	-0.5216464014999582	0.49081329733021123	-1.8200373639525014	-0.6824356667433588	0.27180654778097263	-0.4276380062591921	-0.5937996470302789	0.4690745156047923	-0.4403730369997564	-2.811800216840199	1.072374032011195	-1.4635652969721502	-1.3529741117121243	0.6228145034103818	-1.4401078897617237	-0.9876898573217472	-0.18247481805853066	-0.3455966982722982	-0.5891356757281638	-0.5176156716753623	-0.8195143022529598	-0.3516994353483104	0.26316376484706244	-1.0555949583545947	-0.8368209242094599	0.05970996413834274	-1.0160499865211297	0.10866076221996865	-0.10005843007192737	0.3902714974822787	-0.004355761626261655	0.42978888599904297	-0.9324354427590325	-2.910540117631586	0.04848657135534054	-0.189193345232874	-0.5805746964206281	0.383816146048294	-2.1658138405538603	-0.6214252052861393	-0.24033823596223558
PC	0.29600505551478407	0.36617919346657307	0.8878584347931494	-1.2961513016841515	-1.5199916793235635	-1.004788909673796	-0.2719173541840447	-0.31819902540346706	0.3176480143009372	-0.6026066126844256	0.545831532881525	0.954784330886762	-0.3301519710411789	-0.022351837618513823	0.2954785006673525	-0.006344023570147133	0.9347578048222702	0.7220095528113513	0.43146840602597153	0.3015056080141055	0.7063003105672777	-0.1903930051125798	1.0683719556848605	0.18072515229538358	0.49968384005813127	0.23206657588002025	0.4782089875606258	0.02401887474263207	-0.2483920818471272	0.9011354426038709	0.26313043717775303	-0.5490110956554909	0.5936188967445001	0.5906045901244219	0.355415884903872	0.8091240738242764	-0.3082607001690081	-0.6546392959128531	0.35765467358513453	-0.14748311269561024	0.11638782409520815	0.7772286257392432	0.07009612582212892	0.7720923635948458	1.4575437658171775	-0.11144456282903237	0.07626240717559199	-0.5710290024257937	-0.37065274337153425	-0.7487552736544678	0.07904384573746802	0.7487794324153986	-0.3079298734197381	1.5866891974241628	-2.0377848800009866	-1.6790185441561105	-0.9327099999975458	0.24476642084161837	-0.08950040011192029	0.7751392698535551	-0.9094344294965385	-1.0005160126301138	-0.39445923580891773	-1.3470882317894743	-1.0799568291587864	0.44835612555202264	-1.1677526631901776	0.16168679504031797	0.3181310092349707	0.2821792258874535	1.1098225203360392	0.9285420524200432	0.3710572932990345	0.5216878949321557	1.6003871288977423	-0.6500576609318938	-0.6865060314475864	0.12811957466841145	-0.7473608542209025	-0.17130654588091496	0.3686215912857216	-0.32699821138529184	0.00021859862190265562	0.5586823161202255	-0.24193907239242718	0.90818916316561	1.0762486746128663	-0.7440839343124214	0.12338020535628819	0.6141616741452985	-0.9793172970573618	-0.05949939326193506	0.390998958010769	-0.3934951815221625	-0.554722745585153	0.2822846317980038	0.061522904482061526	0.1415763427138135	0.33494472214080717	-0.4503332997834732	-0.5167841007728728	0.7401644934390005	-0.58860886820517	0.13704240298780712	0.21110055600892239	-0.32108496620676896	-0.3755239912649074	0.2860516828565608	0.10460116826581342	-0.2623736162221152	0.034721501311051804	-0.9956521265152739	-1.282089732878875	0.15951414698351052	-0.10160048285492998	-0.17919416562029225	0.026463186323781824	-1.9058324302119607	-1.1063738587724523	-0.3669148963065245
PE	28.47910288725836	28.275749473119657	28.71597104318901	-30.29523925978197	-28.31154789738193	-29.63931023770667	0.2742773261982051	0.3280541976842041	0.3112696133886405	0.35198976450909136	29.57546449573428	29.407534893865087	28.80586861799048	0.2532659251585383	-0.19119440407367064	0.605541561868752	-0.318790534036344	-28.522433036674393	29.119618328275237	0.6600303187875997	29.86933083574041	1.1608134722209489	29.936624346636002	1.1339505720655898	28.779272171888667	0.8026657092095529	0.6385954993827029	-0.7863189472104232	26.94796958517377	29.40048224862322	-29.635056918980997	-29.400349866124287	-29.415743890576522	0.4900812099263645	29.355360272519043	28.966866849876638	1.0315445138231214	0.34130907771694013	1.7286581897123174	28.57827137421462	28.9021489804199	0.08381461645142844	28.60471681461322	-0.24358414966232708	0.40492435072785976	-1.4824806817904737	0.0005569176061783149	-0.7720054140781675	-0.3435011368820831	-0.8592525009091229	-0.6526430768136022	27.81509383503472	-1.3602885685861226	27.258356825008377	-27.383440186473827	-29.20462404377849	0.7330106552534202	28.85303104380593	0.8269032270402563	0.2118680391979682	-0.678218008210731	-0.4993856867147033	-1.5916679762542971	0.49052769886310743	-0.29559661366732465	30.74507014138327	-29.009240551321952	0.5080218808479644	0.6168450755576028	0.3865075502190136	28.12737875790533	0.6900468989368894	-0.4973059521273062	28.258031426824058	-0.25229665773653703	0.041408604265184244	0.684986192532302	-0.7566574419918751	27.492908100066952	28.18456350547298	28.24250462190078	-0.20207462605987891	0.12876535820563528	-0.39748377287072395	0.2888698063080669	29.947152075762073	30.909994813809544	-0.033141426142621305	1.31432911668639	-28.5892526947753	26.783949968445732	27.25483507066431	27.134668673719894	28.952094385815528	0.40030207096800197	28.3844897566995	28.421427923322856	-0.304184011990891	28.98454085017421	-28.75004278636596	-29.707156973512785	0.4095236102115718	28.78922708751448	28.77344774333207	-0.35097268345836147	-0.8122854253885701	-0.8626495320596724	0.27171734953363813	-0.04341117579067182	-28.794101539066823	-29.40769242408211	-0.5853322460832162	-29.548980842835185	0.21743132667768714	-31.081515868896577	-30.19802849573054	-29.786191133503845	-1.3184971894870892	27.38810220333949	-0.47567292388724675
SM	1.0335694518443708	0.10211901329345316	0.07799497819235884	-0.42137938586927415	-0.9101186283120054	-1.296984409196567	-0.007939915093905727	-0.18197400171196765	-0.21006251951780627	0.2175818791013914	-0.27974971648976704	-0.4314545363279268	0.7151266896289435	0.47664911744218025	-0.09201453291841899	0.38670111366095916	0.2634267507780717	0.34127349969648535	1.2958916435767787	0.4685254898859929	0.4936804134528652	0.411911450907579	0.4771115246917334	0.2541812835657561	0.39817899578620086	0.11595940169934553	-0.0603188202670243	0.8453278922467725	-0.08650487232499905	0.025575571004775227	0.019313916125732907	-0.6414816529865716	-0.1374942744695167	0.2635063949974114	0.18207916808395083	-0.03549028410117268	0.17571210461983292	0.1849408458207805	0.3676156929792887	0.3565629171765582	0.4155974043769792	0.0027306279592811083	0.16616067782676705	0.4213437479727078	0.5776980422007285	0.33023220538877923	0.4705628002402099	-0.4154377085492927	0.15515709089587157	-0.2092537892130948	0.09240925848793215	0.845349833818762	-0.18044480026177623	0.2688994277834907	0.20903887702091747	-0.36055884329563825	-0.42736038578994834	0.5442502932340375	0.521766705003989	0.6260270008880057	-0.20970582248025782	-0.49789886173459824	-0.24900713386396806	0.3376563581573009	-0.46753534571291033	0.20719813207532006	-0.09101556604412074	0.16625741692768609	-0.08339916566742829	1.1933667742219063	1.0800702318069704	1.2059874386580922	0.6334517826919858	0.7401526725723346	0.6781362498160977	0.424728491558256	-0.5789771488454057	0.197220979792324	0.32530755733243183	0.5103905254627736	-0.07627836614558904	0.5674971545249082	0.3349479997955334	0.25727363117935126	1.007516059023427	0.5583273056496506	0.5148666955289043	0.6084733665863751	1.096001876197773	0.36844002456931707	-0.12005559835470583	0.0029810249187216613	-0.4850780509949868	-0.11534794902916408	-0.2149562986797385	-0.2685376797612555	0.24401485416890667	0.29000214535530194	0.14396021890818414	-0.375643469969386	-0.018325268941458188	-0.10245199093425716	0.21073972515178677	0.6139754800187133	0.15989598414482475	0.425725656220569	0.43395118433997837	-0.051174983543009096	0.8769488687037298	0.32241188081537697	-0.1871870402505397	-0.3474498904698209	-1.3553683837972113	0.10542223439830829	-0.7368721980173726	0.5475471997618573	-0.3130256124560746	-0.18692363991338476	0.2543910278994983	-0.005686274003541874
